Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Abner M. C. Araújo,Homem,Manuel M. Oliveira Neto,Homem,1
Acacia Terra,Mulher,Braulio Mello,Homem,1
Acacia Terra,Mulher,Edimar Roque Martello Junior,Homem,1
Acacia Terra,Mulher,Ricardo Parizotto,Homem,1
Adauto Filho,Homem,Bruno Santos,Homem,1
Adauto Filho,Homem,Franciely Souza,Mulher,1
Adauto Filho,Homem,Hugo Santos,Homem,1
Adauto Filho,Homem,Irandir Amorim,Homem,1
Adauto Filho,Homem,Maria Silva,Mulher,1
Adenauer C. Yamin,Homem,Alexandra Zimpeck,Mulher,2
Adenauer C. Yamin,Homem,Alexandre Souza,Homem,2
Adenauer C. Yamin,Homem,Amanda Argou,Mulher,1
Adenauer C. Yamin,Homem,Ana Marilza Pernas,Mulher,6
Adenauer C. Yamin,Homem,Ana Pernas,Mulher,3
Adenauer C. Yamin,Homem,Anderson Cardoso,Homem,1
Adenauer C. Yamin,Homem,Bruno Mota,Homem,1
Adenauer C. Yamin,Homem,Cleber S. Peter,Homem,2
Adenauer C. Yamin,Homem,Cláudio Geyer,Homem,1
Adenauer C. Yamin,Homem,Diórgenes Y. L. da Rosa,Homem,1
Adenauer C. Yamin,Homem,Eduardo Abreu,Homem,1
Adenauer C. Yamin,Homem,Eduardo Monks,Homem,1
Adenauer C. Yamin,Homem,Felipe Haertel,Homem,2
Adenauer C. Yamin,Homem,Felipe Marques,Homem,2
Adenauer C. Yamin,Homem,Franklin Barcellos,Homem,2
Adenauer C. Yamin,Homem,Gerson Cavalheiro,Homem,2
Adenauer C. Yamin,Homem,Jorge Aranda,Homem,1
Adenauer C. Yamin,Homem,Jorge Barbosa,Homem,4
Adenauer C. Yamin,Homem,João Ladislau Lopes,Homem,1
Adenauer C. Yamin,Homem,João Lopes,Homem,4
Adenauer C. Yamin,Homem,João Tavares,Homem,1
Adenauer C. Yamin,Homem,Juliano Carvalho,Homem,1
