Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Evento
Clevi Rapkiewicz,Mulher,Nani Castilho,Mulher,WIT
Clevi Rapkiewicz,Mulher,Simone Fogazzi,Mulher,WIT
Nani Castilho,Mulher,Simone Fogazzi,Mulher,WIT
Ana Cristina Oliveira,Mulher,Edlane Alves,Mulher,WIT
Ana Cristina Oliveira,Mulher,Fanny Batista,Mulher,WIT
Ana Cristina Oliveira,Mulher,Karolyne Oliveira,Mulher,WIT
Ana Cristina Oliveira,Mulher,Marcela Tassyany,Mulher,WIT
Ana Cristina Oliveira,Mulher,Thayanne Sousa,Mulher,WIT
Ana Cristina Oliveira,Mulher,Yngrid Cabral,Mulher,WIT
Edlane Alves,Mulher,Fanny Batista,Mulher,WIT
Edlane Alves,Mulher,Karolyne Oliveira,Mulher,WIT
Edlane Alves,Mulher,Marcela Tassyany,Mulher,WIT
Edlane Alves,Mulher,Thayanne Sousa,Mulher,WIT
Edlane Alves,Mulher,Yngrid Cabral,Mulher,WIT
Fanny Batista,Mulher,Karolyne Oliveira,Mulher,WIT
Fanny Batista,Mulher,Marcela Tassyany,Mulher,WIT
Fanny Batista,Mulher,Thayanne Sousa,Mulher,WIT
Fanny Batista,Mulher,Yngrid Cabral,Mulher,WIT
Karolyne Oliveira,Mulher,Marcela Tassyany,Mulher,WIT
Karolyne Oliveira,Mulher,Thayanne Sousa,Mulher,WIT
Karolyne Oliveira,Mulher,Yngrid Cabral,Mulher,WIT
Marcela Tassyany,Mulher,Thayanne Sousa,Mulher,WIT
Marcela Tassyany,Mulher,Yngrid Cabral,Mulher,WIT
Thayanne Sousa,Mulher,Yngrid Cabral,Mulher,WIT
Marcos Alves Vieira,Homem,Sergio Carvalho,Homem,SBCUP
Aldo von Wangenheim,Homem,Christiane Gresse von Wangenheim,Mulher,WEI
Aldo von Wangenheim,Homem,Fernando S. Pacheco,Homem,WEI
Aldo von Wangenheim,Homem,Jean C. R. Hauck,Homem,WEI
Christiane Gresse von Wangenheim,Mulher,Fernando S. Pacheco,Homem,WEI
Christiane Gresse von Wangenheim,Mulher,Jean C. R. Hauck,Homem,WEI
Fernando S. Pacheco,Homem,Jean C. R. Hauck,Homem,WEI
Marcos Diniz,Homem,Marianne Eliasquevici,Mulher,WEI
Alan Fernandes,Homem,Everton Cavalcante,Homem,SEMISH
Alan Fernandes,Homem,Felipe Rocha,Homem,SEMISH
Alan Fernandes,Homem,José Gameleira Neto,Homem,SEMISH
Alan Fernandes,Homem,Luís Felipe Santos,Homem,SEMISH
Alan Fernandes,Homem,Thais Batista,Mulher,SEMISH
Everton Cavalcante,Homem,Felipe Rocha,Homem,SEMISH
Everton Cavalcante,Homem,José Gameleira Neto,Homem,SEMISH
Everton Cavalcante,Homem,Luís Felipe Santos,Homem,SEMISH
Everton Cavalcante,Homem,Thais Batista,Mulher,SEMISH
Felipe Rocha,Homem,José Gameleira Neto,Homem,SEMISH
Felipe Rocha,Homem,Luís Felipe Santos,Homem,SEMISH
Felipe Rocha,Homem,Thais Batista,Mulher,SEMISH
José Gameleira Neto,Homem,Luís Felipe Santos,Homem,SEMISH
José Gameleira Neto,Homem,Thais Batista,Mulher,SEMISH
Luís Felipe Santos,Homem,Thais Batista,Mulher,SEMISH
Gustavo Henrique da Silva Alexandre,Homem,Jesiel Viana da Silva,Homem,WEI
Cristiane Ellwanger,Mulher,Cristina Paludo Santos,Mulher,WIT
Cristiane Ellwanger,Mulher,Mateus Paludo Santos,Homem,WIT
Cristina Paludo Santos,Mulher,Mateus Paludo Santos,Homem,WIT
Celso Alberto Saibel Santos,Homem,Estêvão Bissoli Saleme,Homem,CTD
Celso Alberto Saibel Santos,Homem,George Ghinea,Homem,CTD
Estêvão Bissoli Saleme,Homem,George Ghinea,Homem,CTD
Hugo Rosado,Homem,Marcelo Benedito,Homem,ETC
Alecsander Hennig,Homem,Fernando Zanutto,Homem,ENCompIF
Alecsander Hennig,Homem,Luis Guilherme Eich,Homem,ENCompIF
Alecsander Hennig,Homem,Murillo Weissheimer,Homem,ENCompIF
Alecsander Hennig,Homem,Vanessa Petró,Mulher,ENCompIF
Alecsander Hennig,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Fernando Zanutto,Homem,Luis Guilherme Eich,Homem,ENCompIF
Fernando Zanutto,Homem,Murillo Weissheimer,Homem,ENCompIF
Fernando Zanutto,Homem,Vanessa Petró,Mulher,ENCompIF
Fernando Zanutto,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Luis Guilherme Eich,Homem,Murillo Weissheimer,Homem,ENCompIF
Luis Guilherme Eich,Homem,Vanessa Petró,Mulher,ENCompIF
Luis Guilherme Eich,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Murillo Weissheimer,Homem,Vanessa Petró,Mulher,ENCompIF
Murillo Weissheimer,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Vanessa Petró,Mulher,Vinicius Hartmann Ferreira,Homem,ENCompIF
