Autor1,Autor2,Evento
Clevi Rapkiewicz,Nani Castilho,WIT
Clevi Rapkiewicz,Simone Fogazzi,WIT
Nani Castilho,Simone Fogazzi,WIT
Adrielly C. E. Dias,Daniela C. Terra,WIT
Adrielly C. E. Dias,Isabella A. D. Melo,WIT
Adrielly C. E. Dias,Leticia M. M. S. Cheloni,WIT
Adrielly C. E. Dias,Raylla L. S. Gama,WIT
Adrielly C. E. Dias,Suelen M. de Paula,WIT
Daniela C. Terra,Isabella A. D. Melo,WIT
Daniela C. Terra,Leticia M. M. S. Cheloni,WIT
Daniela C. Terra,Raylla L. S. Gama,WIT
Daniela C. Terra,Suelen M. de Paula,WIT
Isabella A. D. Melo,Leticia M. M. S. Cheloni,WIT
Isabella A. D. Melo,Raylla L. S. Gama,WIT
Isabella A. D. Melo,Suelen M. de Paula,WIT
Leticia M. M. S. Cheloni,Raylla L. S. Gama,WIT
Leticia M. M. S. Cheloni,Suelen M. de Paula,WIT
Raylla L. S. Gama,Suelen M. de Paula,WIT
Cristiano Maciel,Sabrina B. Sassi,WEI
Cristiano Maciel,Vinícius Carvalho Pereira,WEI
Sabrina B. Sassi,Vinícius Carvalho Pereira,WEI
Marcos Diniz,Marianne Eliasquevici,WEI
Alan Fernandes,Everton Cavalcante,SEMISH
Alan Fernandes,Felipe Rocha,SEMISH
Alan Fernandes,José Gameleira Neto,SEMISH
Alan Fernandes,Luís Felipe Santos,SEMISH
Alan Fernandes,Thais Batista,SEMISH
Everton Cavalcante,Felipe Rocha,SEMISH
Everton Cavalcante,José Gameleira Neto,SEMISH
Everton Cavalcante,Luís Felipe Santos,SEMISH
Everton Cavalcante,Thais Batista,SEMISH
Felipe Rocha,José Gameleira Neto,SEMISH
Felipe Rocha,Luís Felipe Santos,SEMISH
Felipe Rocha,Thais Batista,SEMISH
José Gameleira Neto,Luís Felipe Santos,SEMISH
José Gameleira Neto,Thais Batista,SEMISH
Luís Felipe Santos,Thais Batista,SEMISH
Gustavo Henrique da Silva Alexandre,Jesiel Viana da Silva,WEI
Márcia Gonçalves Oliveira,Vânia Silvares Marquiori,WIT
Celso Alberto Saibel Santos,Estêvão Bissoli Saleme,CTD
Celso Alberto Saibel Santos,George Ghinea,CTD
Estêvão Bissoli Saleme,George Ghinea,CTD
Hugo Rosado,Marcelo Benedito,ETC
Alex Gliesch,Marcus Ritt,CTD
Ana P. G. Lopes,Luis F. A. Román,SBCUP
Ana P. G. Lopes,Paulo R. L. Gondim,SBCUP
Luis F. A. Román,Paulo R. L. Gondim,SBCUP
Flávio Rocha,Hudson Lopes,WPerformance
Flávio Rocha,Ricardo Bruno de Oliveira,WPerformance
Hudson Lopes,Ricardo Bruno de Oliveira,WPerformance
Alice Menezes,Carlos Figueiredo,SBCUP
Alessandra Martins Coelho,Diego Nunes Noceli,ENCompIF
Alessandra Martins Coelho,Matheus de Freitas Oliveira Baffa,ENCompIF
Diego Nunes Noceli,Matheus de Freitas Oliveira Baffa,ENCompIF
Flávio Coutinho,Glívia Barbosa,WIT
Flávio Coutinho,Ismael Silva,WIT
Flávio Coutinho,Laura Ribeiro,WIT
Flávio Coutinho,Natália Santos,WIT
Glívia Barbosa,Ismael Silva,WIT
Glívia Barbosa,Laura Ribeiro,WIT
Glívia Barbosa,Natália Santos,WIT
Ismael Silva,Laura Ribeiro,WIT
Ismael Silva,Natália Santos,WIT
Laura Ribeiro,Natália Santos,WIT
Manuel M. Oliveira Neto,Marcos H. Backes,CTD
Amaury Antônio de Castro Junior,Anderson Corrêa de Lima,WEI
Amaury Antônio de Castro Junior,Luciana Montera Cheung,WEI
Anderson Corrêa de Lima,Luciana Montera Cheung,WEI
Delano Maia,Emanuel Coutinho,WASHES
Delano Maia,Wagner Braga Bezerra,WASHES
Emanuel Coutinho,Wagner Braga Bezerra,WASHES
Alberto Raiol,Breno Sousa,WEI
Alberto Raiol,Fábio Bezerra,WEI
Alberto Raiol,Paulo Cerqueira,WEI
Alberto Raiol,Rafael Santos,WEI
Breno Sousa,Fábio Bezerra,WEI
Breno Sousa,Paulo Cerqueira,WEI
Breno Sousa,Rafael Santos,WEI
Fábio Bezerra,Paulo Cerqueira,WEI
Fábio Bezerra,Rafael Santos,WEI
Paulo Cerqueira,Rafael Santos,WEI
Joel J. P. C. Rodrigues,Samuel B. Mafra,SBCUP
Joel J. P. C. Rodrigues,Vitor A.C. Figueiredo,SBCUP
Samuel B. Mafra,Vitor A.C. Figueiredo,SBCUP
Henrique Hepp,Leandro M. Zatesko,ETC
Henrique Hepp,Murilo V. G. da Silva,ETC
Leandro M. Zatesko,Murilo V. G. da Silva,ETC
Adrya Araújo,Bruna Mariana F. de Souza,WIT
Adrya Araújo,Fabiola Guerra Nakamura,WIT
Adrya Araújo,Jeovana Leão,WIT
Adrya Araújo,Julis Figueira de Araújo,WIT
Adrya Araújo,Kalil Ferreira,WIT
Adrya Araújo,Mariana Barros,WIT
Adrya Araújo,Tanara Lauschner,WIT
Bruna Mariana F. de Souza,Fabiola Guerra Nakamura,WIT
Bruna Mariana F. de Souza,Jeovana Leão,WIT
Bruna Mariana F. de Souza,Julis Figueira de Araújo,WIT
Bruna Mariana F. de Souza,Kalil Ferreira,WIT
Bruna Mariana F. de Souza,Mariana Barros,WIT
Bruna Mariana F. de Souza,Tanara Lauschner,WIT
Fabiola Guerra Nakamura,Jeovana Leão,WIT
Fabiola Guerra Nakamura,Julis Figueira de Araújo,WIT
Fabiola Guerra Nakamura,Kalil Ferreira,WIT
Fabiola Guerra Nakamura,Mariana Barros,WIT
Fabiola Guerra Nakamura,Tanara Lauschner,WIT
Jeovana Leão,Julis Figueira de Araújo,WIT
Jeovana Leão,Kalil Ferreira,WIT
Jeovana Leão,Mariana Barros,WIT
Jeovana Leão,Tanara Lauschner,WIT
Julis Figueira de Araújo,Kalil Ferreira,WIT
Julis Figueira de Araújo,Mariana Barros,WIT
Julis Figueira de Araújo,Tanara Lauschner,WIT
Kalil Ferreira,Mariana Barros,WIT
Kalil Ferreira,Tanara Lauschner,WIT
Mariana Barros,Tanara Lauschner,WIT
Elaine S. França,Oto B. Assunção,WEI
Elaine S. França,Raquel O. Prates,WEI
Oto B. Assunção,Raquel O. Prates,WEI
Débora Zumpichiatti,Gabriel SantClair,WEI
Débora Zumpichiatti,Janaina Gomide,WEI
Débora Zumpichiatti,João Victor Moreira,WEI
Gabriel SantClair,Janaina Gomide,WEI
Gabriel SantClair,João Victor Moreira,WEI
Janaina Gomide,João Victor Moreira,WEI
Eduardo H. Teixeira,Joel J. P. C. Rodrigues,SBCUP
Eduardo H. Teixeira,Samuel B. Mafra,SBCUP
Eduardo H. Teixeira,Werner A. A. N. da Silveira,SBCUP
Joel J. P. C. Rodrigues,Samuel B. Mafra,SBCUP
Joel J. P. C. Rodrigues,Werner A. A. N. da Silveira,SBCUP
Samuel B. Mafra,Werner A. A. N. da Silveira,SBCUP
Alirio Santos de Sá,Ana Carolina Sokolonski,WEI
Alirio Santos de Sá,Raimundo José de Araújo Macêdo,WEI
Ana Carolina Sokolonski,Raimundo José de Araújo Macêdo,WEI
Fábio Rodrigues de la Rocha,Michelle Wangham,SEMISH
Cleidiane Nunes,Ivaldir Júnior,WASHES
Carina Machado de Farias,Sarah Barbosa de Deus,WIT
Carina Machado de Farias,Steffany Caroline Carvalho Freire,WIT
Sarah Barbosa de Deus,Steffany Caroline Carvalho Freire,WIT
Edson Neto,Julio Furtado,WASHES
Johnny Marques,Lilian Barros,WASHES
Johnny Marques,Talita Slavov,WASHES
Lilian Barros,Talita Slavov,WASHES
Albert Lopes,Carlos Portela,WEI
Albert Lopes,Sandra Oliveira,WEI
Carlos Portela,Sandra Oliveira,WEI
Francisco Airton Silva,Laécio Rodrigues,WPerformance
Francisco Airton Silva,Lucas Santos,WPerformance
Francisco Airton Silva,Matheus Torquato,WPerformance
Laécio Rodrigues,Lucas Santos,WPerformance
Laécio Rodrigues,Matheus Torquato,WPerformance
Lucas Santos,Matheus Torquato,WPerformance
Ana Inocêncio,Caique Souza,WEI
Ana Inocêncio,Esdras Bispo Jr.,WEI
Ana Inocêncio,Lucas Costa,WEI
Caique Souza,Esdras Bispo Jr.,WEI
Caique Souza,Lucas Costa,WEI
