Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Abner M. C. Araújo,Homem,Manuel M. Oliveira Neto,Homem,1
Aldênio Burgos,Homem,Eduardo Alchieri,Homem,1
Alejandro C. Frery,Homem,Eduarda T. C. Chagas,Mulher,1
Alejandro C. Frery,Homem,Heitor S. Ramos,Homem,1
Alesom Zorzi,Homem,Celina M. H. de Figueiredo,Mulher,1
Alesom Zorzi,Homem,Raphael C. S. Machado,Homem,1
Alex Borges Vieira,Homem,Bruno Marques Cremonezi,Homem,1
Alex Borges Vieira,Homem,Michele Nogueira Lima,Mulher,1
Alex Gliesch,Homem,Marcus Ritt,Homem,1
Alexander Decker de Souza,Homem,Luiz Filipe Menezes Vieira,Homem,1
Alexander Decker de Souza,Homem,Marcos Augusto Menezes Vieira,Homem,1
Alexandre Rossi Paschoal,Homem,Bruno Henrique Ribeiro da Fonseca,Homem,1
Alexandre Rossi Paschoal,Homem,Douglas Silva Domingues,Homem,1
Alexsander Andrade de Melo,Homem,Uéverton dos Santos Souza,Homem,1
Aline Paes,Mulher,Gerson Zaverucha,Homem,1
Aline Paes,Mulher,Rodrigo Azevedo Santos,Homem,1
Aline Saettler,Mulher,Eduardo S. Laber,Homem,1
Allan M. de Souza,Homem,Leandro A. Villas,Homem,1
Altair O. Santin,Homem,Eduardo K. Viegas,Homem,1
Ana L. C. Bazzan,Mulher,Bruna A. da Silva,Homem,1
Ana L. C. Bazzan,Mulher,Gabriel O. Ramos,Homem,1
Anderson Lemos,Homem,Olga Goussevskaia,Mulher,1
Anderson Lemos,Homem,Vinicius F. Santos,Homem,1
Anderson Rocha,Homem,Jacques Wainer,Homem,1
Anderson Rocha,Homem,Ramon Pires,Homem,1
Andre Rodrigues Oliveira,Homem,Gabriel Siqueira,Homem,1
Andre Rodrigues Oliveira,Homem,Zanoni Dias,Homem,1
André C. P. L. F. de Carvalho,Homem,Paulo Henrique Pisani,Homem,1
André L. P. Guedes,Homem,Leandro M. Zatesko,Homem,1
André L. P. Guedes,Homem,Renato Carmo,Homem,1
André L. Vignatti,Homem,Murilo V. G. da Silva,Homem,1
André L. Vignatti,Homem,Nicollas M. Sdroievski,Homem,1
André S. Gonzaga,Homem,Robson L. F. Cordeiro,Homem,1
Anisio Lacerda,Homem,Gabriel P. Oliveira,Homem,1
Anisio Lacerda,Homem,Mirella M. Moro,Mulher,1
Anna Helena Reali Costa,Mulher,Felipe Leno da Silva,Homem,1
Annabelle McIver,Mulher,Gabriel H. Nunes,Homem,1
Annabelle McIver,Mulher,Mário S. Alvim,Homem,1
Antonio A. F. Loureiro,Homem,Luiz Vieira,Homem,1
Antonio A. F. Loureiro,Homem,Rodolfo W. L. Coutinho,Homem,1
Antonio Carlos Schneider Beck,Homem,Luigi Carro,Homem,1
Antonio Carlos Schneider Beck,Homem,Marcelo Brandalero,Homem,1
Artur Jordão Lima Correia,Homem,William Robson Schwartz,Homem,1
Bruna A. da Silva,Homem,Gabriel O. Ramos,Homem,1
