Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Adriano Kamimura Suzuki,Homem,Matheus Henrique Junqueira Saldanha,Homem,1
Andre Aquino,Homem,Israel L. C. Vasconcelos,Homem,1
Andre L. L. Aquino,Homem,Eduardo G. Gomes,Homem,1
André G. Pereira,Mulher,Augusto B. Corrêa,Homem,1
André G. Pereira,Mulher,Frederico Messa,Homem,1
André G. Pereira,Mulher,Marcus Ritt,Homem,1
Antônio Pereira,Homem,Felipe Viegas,Homem,2
Antônio Pereira,Homem,Leonardo Rocha,Homem,2
Antônio Pereira,Homem,Pablo Cecilio,Homem,1
Ariadne Costa,Mulher,Luciana Trento Raineri,Mulher,1
Ariadne Costa,Mulher,Rafael Silva Del Lama,Homem,1
Ariadne Costa,Mulher,Raquel Mariana Candido,Mulher,1
Ariadne Costa,Mulher,Renato Tinos,Homem,1
Atílio G. Luiz,Homem,Luisa Frickes,Mulher,1
Atílio G. Luiz,Homem,Simone Dantas,Mulher,1
Augusto B. Corrêa,Homem,Marcus Ritt,Homem,1
Bernardo Augusto Godinho de Oliveira,Homem,Carlos Augusto Martins,Homem,1
Bernardo Augusto Godinho de Oliveira,Homem,Flávia M. F. Ferreira,Mulher,1
Bruno Gadelha,Homem,Gustavo Martins,Homem,1
Bruno Gadelha,Homem,Rosiane Freitas,Mulher,1
Carlos Augusto Martins,Homem,Flávia M. F. Ferreira,Mulher,1
Caroline Aparecida de Paula Silva,Mulher,Cândida Nunes da Silva,Mulher,1
Caroline Aparecida de Paula Silva,Mulher,Orlando Lee,Homem,1
Christian Gomes,Homem,Leonardo Rocha,Homem,1
Christian Reis Fagundes Gomes,Homem,Felipe Augusto Resende Viegas,Homem,1
Christian Reis Fagundes Gomes,Homem,Leonardo Chaves Dutra da Rocha,Homem,1
Christian Reis Fagundes Gomes,Homem,Washington Luiz Miranda da Cunha,Homem,1
Cleiton M. Marques,Homem,Cristina Meinhardt,Mulher,1
Cleiton M. Marques,Homem,Paulo F. Butzen,Homem,1
Cristina Meinhardt,Mulher,Paulo F. Butzen,Homem,1
Cândida Nunes da Silva,Mulher,Lucas Rigo Yoshimura,Homem,1
Cândida Nunes da Silva,Mulher,Maycon Sambinelli,Homem,1
Cândida Nunes da Silva,Mulher,Orlando Lee,Homem,2
Dalcimar Casanova,Homem,Lucas Caldeira de Oliveira,Homem,1
Dalcimar Casanova,Homem,Marcelo Teixeira,Homem,1
Daniel Ratton Figueiredo,Homem,Henrique José dos S. Ferreira Júnior ,Homem,1
Danielle L. Pinto,Mulher,Hannah O. Plath,Mulher,1
Danielle L. Pinto,Mulher,Maria Estela O. Paiva,Mulher,1
Danielle L. Pinto,Mulher,Paula D. P. Costa,Mulher,1
Denis Rosário,Homem,Eduardo Cerqueira,Homem,1
Denis Rosário,Homem,Helder Oliveira,Homem,1
Denis Rosário,Homem,Rafael Lopes,Homem,1
Diego Carvalho,Homem,Leonardo Rocha,Homem,2
Diego Carvalho,Homem,Nícollas Silva,Homem,2
Diego Carvalho,Homem,Tiago Trotta,Homem,1
Eduardo Cerqueira,Homem,Helder Oliveira,Homem,1
Eduardo Cerqueira,Homem,Rafael Lopes,Homem,1
Elisa Yumi Nakagawa,Mulher,Valdemar Neto,Homem,1
Elisa Yumi Nakagawa,Mulher,Wallace Manzano,Homem,1
Elverton Fazzion,Homem,Osvaldo Fonseca ,Homem,1
Elverton Fazzion,Homem,Welton Augusto Rodrigues Santos,Homem,1
Fabio Augusto Faria,Homem,Matheus Macedo Leonardo,Homem,1
Felipe Augusto Resende Viegas,Homem,Leonardo Chaves Dutra da Rocha,Homem,1
Felipe Augusto Resende Viegas,Homem,Washington Luiz Miranda da Cunha,Homem,1
Felipe Lisboa,Homem,Juliana de Santi,Mulher,1
Felipe Lisboa,Homem,Keiko V. O. Fonseca,Mulher,1
Felipe Viegas,Homem,Leonardo Rocha,Homem,2
Felipe Viegas,Homem,Pablo Cecilio,Homem,1
Fernando Dione S. Lima,Homem,Francisco Lucas F. Pereira,Homem,1
Fernando Dione S. Lima,Homem,João P. P. Gomes,Homem,1
Fernando Dione S. Lima,Homem,Lucas G. M. Leite,Homem,1
Francisco Lucas F. Pereira,Homem,João P. P. Gomes,Homem,1
Francisco Lucas F. Pereira,Homem,Lucas G. M. Leite,Homem,1
Guilherme Andrade,Homem,Leonardo Rocha,Homem,2
Gustavo F. Camilo,Homem,Luis Henrique M. K. Costa,Homem,1
Gustavo F. Camilo,Homem,Miguel Elias M. Campista,Homem,1
Gustavo F. Camilo,Homem,Otto Carlos M. B. Duarte,Homem,1
Gustavo Martins,Homem,Rosiane Freitas,Mulher,1
Hannah O. Plath,Mulher,Maria Estela O. Paiva,Mulher,1
Hannah O. Plath,Mulher,Paula D. P. Costa,Mulher,1
Heitor Werneck,Homem,Leonardo Rocha,Homem,1
Heitor Werneck,Homem,Nícollas Silva,Homem,1
Helder Oliveira,Homem,Rafael Lopes,Homem,1
Igor Moraes,Homem,Júlio César Resende,Homem,1
Igor Moraes,Homem,Leonardo Rocha,Homem,1
Ivan Machado,Homem,Joselito Mota Júnior,Homem,1
João P. P. Gomes,Homem,Lucas G. M. Leite,Homem,1
Juliana de Santi,Mulher,Keiko V. O. Fonseca,Mulher,1
Júlio César Resende,Homem,Leonardo Rocha,Homem,1
Larissa F. S. Britto,Mulher,Luciano D. S. Pacífico,Homem,1
Larissa F. S. Britto,Mulher,Teresa B. Ludermir,Mulher,1
Leonardo Chaves Dutra da Rocha,Homem,Washington Luiz Miranda da Cunha,Homem,1
Leonardo Rocha,Homem,Luiz Felipe Chaves,Homem,1
Leonardo Rocha,Homem,Nícollas Silva,Homem,4
Leonardo Rocha,Homem,Pablo Cecilio,Homem,1
Leonardo Rocha,Homem,Tiago Trotta,Homem,1
Lucas Caldeira de Oliveira,Homem,Marcelo Teixeira,Homem,1
Lucas Rigo Yoshimura,Homem,Maycon Sambinelli,Homem,1
Lucas Rigo Yoshimura,Homem,Orlando Lee,Homem,1
Luciana Trento Raineri,Mulher,Rafael Silva Del Lama,Homem,1
Luciana Trento Raineri,Mulher,Raquel Mariana Candido,Mulher,1
Luciana Trento Raineri,Mulher,Renato Tinos,Homem,1
Luciano D. S. Pacífico,Homem,Teresa B. Ludermir,Mulher,1
Luis Henrique M. K. Costa,Homem,Miguel Elias M. Campista,Homem,1
Luis Henrique M. K. Costa,Homem,Otto Carlos M. B. Duarte,Homem,1
Luisa Frickes,Mulher,Simone Dantas,Mulher,1
Luiz Felipe Chaves,Homem,Nícollas Silva,Homem,1
Luiz R. F. Sekijima,Homem,Nelson L. S. da Fonseca,Homem,1
Luiz R. F. Sekijima,Homem,Tiago P. C. de Andrade,Homem,1
Maria Andréia Formico Rodrigues,Mulher,Ygor Rebouças Serpa,Homem,1
Maria Estela O. Paiva,Mulher,Paula D. P. Costa,Mulher,1
Matheus Henrique Junqueira Saldanha,Homem,Paulo Sérgio Lopes de Souza,Homem,1
Maycon Sambinelli,Homem,Orlando Lee,Homem,1
Miguel Elias M. Campista,Homem,Otto Carlos M. B. Duarte,Homem,1
Nelson L. S. da Fonseca,Homem,Tiago P. C. de Andrade,Homem,1
Nícollas Silva,Homem,Tiago Trotta,Homem,1
Osvaldo Fonseca ,Homem,Welton Augusto Rodrigues Santos,Homem,1
Rafael Silva Del Lama,Homem,Raquel Mariana Candido,Mulher,1
Rafael Silva Del Lama,Homem,Renato Tinos,Homem,1
Raquel Mariana Candido,Mulher,Renato Tinos,Homem,1
Valdemar Neto,Homem,Wallace Manzano,Homem,1
