Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Airon dos Santos,Homem,Fábio Gomes,Homem,1
Airton Zancanaro,Homem,Carla Grossl,Mulher,1
Airton Zancanaro,Homem,Déborah Kosak Klagenberg,Mulher,1
Airton Zancanaro,Homem,Kemely Kedny Pezzini,Mulher,1
Airton Zancanaro,Homem,Letícia Hümmelgen,Mulher,1
Airton Zancanaro,Homem,Nágila Cristina Hinckel,Mulher,1
Airton Zancanaro,Homem,Thainá Schroeder Ribeiro,Mulher,1
Alan Xavier,Homem,Denis Carvalho,Homem,1
Alan Xavier,Homem,Fábio Martins,Homem,1
Alan Xavier,Homem,Ricardo Pimentel,Homem,1
Alba Sandyra B. Lopes,Mulher,Amanda dos S. Bernardo,Mulher,1
Alba Sandyra B. Lopes,Mulher,Edmilson Barbalho C. Neto,Homem,1
Alba Sandyra B. Lopes,Mulher,Kadja Alleska S. de Lima,Mulher,1
Alecsander Dornelles,Homem,Rafael Parizi,Homem,1
Alessandra Martins Coelho,Mulher,Diego Nunes Noceli,Homem,1
Alessandra Martins Coelho,Mulher,Luiza Rosa de Moura,Mulher,1
Alessandra Martins Coelho,Mulher,Matheus de Freitas Oliveira Baffa,Homem,2
Alessandro do Amaral,Homem,Denis Lima,Homem,1
Alessandro do Amaral,Homem,Sávio Cantero,Homem,1
Alexandre B. dos Santos,Homem,Francisco Alan de O. Santos,Homem,1
Alexandre B. dos Santos,Homem,Pedro A. Fontes Neto,Homem,1
Alexandre Morais,Homem,Carlos Lima,Homem,1
Alexandre Morais,Homem,Helder Rangel,Homem,1
Alexandre Morais,Homem,Heremita Lima,Mulher,1
Alexandre Morais,Homem,Nadja Rodrigues,Mulher,1
Alexandre Morais,Homem,Samyra Almeida,Mulher,1
Alexandre Morais,Homem,Tiago Barbosa,Homem,1
Alexandre Orozco,Homem,Alysson Hubner,Homem,1
Alexandre Orozco,Homem,Giovana Santos,Mulher,1
Alexandre Orozco,Homem,Ricardo R. Santos,Homem,1
Aline Silva De Bona,Mulher,Natália Bernardo Nunes,Mulher,1
Alisson Neves,Homem,Bruno Silva,Homem,1
Alisson Neves,Homem,Jadir Arnaldo Júnior,Homem,1
Alisson Neves,Homem,Leila Buarque,Mulher,1
Alisson Neves,Homem,Marcelo Cunha,Homem,1
Alysson Hubner,Homem,Giovana Santos,Mulher,1
Alysson Hubner,Homem,Ricardo R. Santos,Homem,1
Amanda C. Pereira,Mulher,Matheus E. Franco,Homem,1
Amanda Lisboa Pereira,Mulher,Luis F. Pozas,Homem,1
Amanda dos S. Bernardo,Mulher,Edmilson Barbalho C. Neto,Homem,1
Amanda dos S. Bernardo,Mulher,Kadja Alleska S. de Lima,Mulher,1
Ana Julia Alves,Mulher,Wesley Folly Volotão de Souza,Homem,1
Ana Luisa D. Almeida,Mulher,Gabriel C. Carrara,Homem,1
Ana Luisa D. Almeida,Mulher,Isabele B. Prates,Mulher,1
Ana Luisa D. Almeida,Mulher,João Gabriel R. Silva,Homem,1
Ana Luisa D. Almeida,Mulher,Letícia C. T. Nascimento,Mulher,1
Ana Luisa D. Almeida,Mulher,Pedro H. O. Souza,Homem,1
Ana Luisa D. Almeida,Mulher,Renato C. Cani,Homem,1
Ana Luisa D. Almeida,Mulher,Thiago R. Almeida,Homem,1
Ana Paula Marques Barbosa,Mulher,Diego Jonathan Hoss,Homem,1
Ana Paula Marques Barbosa,Mulher,Eduardo Andrade,Homem,1
Anderson Daniel Stochero,Homem,André G. Pereira,Homem,1
Anderson Daniel Stochero,Homem,Cristiane da Silva Stamberg,Mulher,1
Anderson Daniel Stochero,Homem,Samuel Müller Forrati,Homem,1
Anderson Passos de Aragão,Homem,João Victor da Costa,Homem,1
Anderson Souza,Homem,Cleyton Gomes,Homem,1
Anderson Souza,Homem,Gabriel Souza,Homem,1
