Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Alan D. A. Carneiro,Homem,Priscila Camargo,Mulher,1
Alan D. A. Carneiro,Homem,Uéverton S. Santos,Homem,1
Alane M. de Lima,Mulher,André L. Vignatti,Homem,1
Alane M. de Lima,Mulher,Murilo V. G. da Silva,Homem,1
Aleffer Rocha,Homem,Leandro M. Zatesko,Homem,1
Aleffer Rocha,Homem,Sheila M. Almeida,Mulher,1
Alexandre Cezar,Homem,Ana Shirley Ferreira Silva,Mulher,1
Alexandre Cezar,Homem,Ana Silva,Mulher,1
Alexandre Cezar,Homem,Carlos V. G. C. Lima,Homem,1
Alexandre Cezar,Homem,Carlos Vinícius Gomes Costa Lima,Homem,1
Alexandre Cezar,Homem,Julio Araujo,Homem,2
Alexandre Cezar,Homem,Júlio Araújo,Homem,1
Alexandre Cezar,Homem,Rayane Castro,Mulher,1
Alexandre Cezar,Homem,Vinicius F. Santos,Homem,1
Alexandre Cezar,Homem,Vinicius Fernandes dos Santos,Homem,1
Alexandre Ribeiro,Homem,Guilherme Londe,Homem,1
Alexandre Ribeiro,Homem,Jorge dos Santos,Homem,1
Alexandre Ribeiro,Homem,Welverton da Silva,Homem,1
Allen Ibiapina,Homem,Ana Silva,Mulher,1
Alonso Ali,Homem,Orlando Lee,Homem,1
Ana Beatriz S. Matias,Mulher,Júlio C. S. Araújo,Homem,1
Ana Beatriz S. Matias,Mulher,Marcio C. Santos,Homem,1
Ana Karolina Maia,Mulher,Cláudia Linhares Sales,Mulher,1
Ana Karolina Maia,Mulher,Cláudio Carvalho,Homem,1
Ana Karolina Maia,Mulher,Jonas Costa,Homem,1
Ana Karolina Maia,Mulher,Leonardo C. de Abreu,Homem,1
Ana Karolina Maia,Mulher,Manoel Campêlo,Homem,1
Ana Karolina Maia,Mulher,Nicolas Nisse,Homem,1
Ana Karolina Maia,Mulher,Raul Lopes,Homem,1
Ana Shirley Ferreira Silva,Mulher,Carlos Vinícius Gomes Costa Lima,Homem,1
Ana Shirley Ferreira Silva,Mulher,Julio Araujo,Homem,1
Ana Shirley Ferreira Silva,Mulher,Vinicius Fernandes dos Santos,Homem,1
Ana Silva,Mulher,Carlos V. G. C. Lima,Homem,1
Ana Silva,Mulher,Davi de Andrade,Homem,2
Ana Silva,Mulher,Júlio Araújo,Homem,1
Ana Silva,Mulher,Kenny Domingues,Homem,2
Ana Silva,Mulher,Vinicius F. Santos,Homem,1
Ana Silva,Mulher,Yuri Silva de Oliveira,Homem,1
Anderson de Souza Barbosa,Homem,Franklin de L. Marquezino,Homem,1
Anderson de Souza Barbosa,Homem,Renato Portugal,Homem,1
André L. Vignatti,Homem,Murilo V. G. da Silva,Homem,1
André Ribeiro,Homem,Caroline Patrão,Mulher,1
André Ribeiro,Homem,Celina Figueiredo,Mulher,1
André Ribeiro,Homem,Diane Castonguay,Mulher,1
André Ribeiro,Homem,Luis Kowada,Homem,1
Antônio K. B. Fernandes,Homem,Guilherme Mota,Homem,1
Antônio K. B. Fernandes,Homem,Hugo M. Vicente,Homem,1
Antônio K. B. Fernandes,Homem,Maurício Collares,Homem,1
Arthur F. Ramos,Homem,Ruy J. G. B. de Queiroz,Homem,1
Arthur Pratti Dadalto,Homem,Fábio Luiz Usberti,Homem,1
Arthur Pratti Dadalto,Homem,Mário César San Felice,Homem,1
Artur Ziviani,Homem,Felipe Abrahão,Homem,3
Artur Ziviani,Homem,Klaus Wehmuth,Homem,4
Atílio Gomes Luiz,Homem,Davi Gomes Florencio,Homem,1
Aurelio Ribeiro Leite Oliveira,Homem,Esther S. Mamián Lopez,Mulher,1
Bernardo Amorim,Homem,Vinicius F. Santos,Homem,1
Brenner H. O. Rios,Homem,Eduardo C. Xavier,Homem,1
Brenner H. O. Rios,Homem,Flávio K. Miyazawa,Homem,1
Brenner H. O. Rios,Homem,Pedro Amorim,Homem,1
Bruno Bandeira,Homem,Márcia R. Cerioli,Mulher,1
Bruno Bandeira,Homem,Petrucio Viana,Homem,1
Bruno Dias,Homem,Javier Marenco,Homem,1
Bruno Dias,Homem,Nelson Maculan,Homem,1
Bruno Dias,Homem,Rosiane Freitas,Mulher,1
Bruno L. Netto,Homem,Fábio Botler,Homem,1
Bruno Masquio,Homem,Guilherme de C. M. Gomes,Homem,2
Bruno Masquio,Homem,Jayme L. Szwarcfiter,Homem,4
Bruno Masquio,Homem,Paulo E. D. Pinto,Homem,3
Bruno Masquio,Homem,Paulo Pinto,Homem,1
Bruno Masquio,Homem,Vinicius F. Santos,Homem,2
Bruno Monteiro,Homem,Vinicius F. Santos,Homem,1
Carla N. Lintzmayer,Mulher,Cristina Fernandes,Mulher,2
Carla N. Lintzmayer,Mulher,Denis G. Fantinato,Homem,1
Carla N. Lintzmayer,Mulher,Eduardo Candido Xavier,Homem,1
Carla N. Lintzmayer,Mulher,Flávio K. Miyazawa,Homem,1
Carla N. Lintzmayer,Mulher,Lucas F. Muniz,Homem,1
Carla N. Lintzmayer,Mulher,Mário César San Felice,Homem,2
Carlos E. Ferreira,Homem,Gabriel M. de Azevedo,Homem,1
Carlos V. G. C. Lima,Homem,Cícero S. Morais,Homem,1
Carlos V. G. C. Lima,Homem,Júlio Araújo,Homem,1
Carlos V. G. C. Lima,Homem,Vinicius F. Santos,Homem,1
Carlos Vinícius Gomes Costa Lima,Homem,Julio Araujo,Homem,1
Carlos Vinícius Gomes Costa Lima,Homem,Vinicius Fernandes dos Santos,Homem,1
Caroline Patrão,Mulher,Celina Figueiredo,Mulher,1
Caroline Patrão,Mulher,Diane Castonguay,Mulher,1
Caroline Patrão,Mulher,Luis Kowada,Homem,1
Caroline Silva,Mulher,Cândida Silva,Mulher,1
Caroline Silva,Mulher,Orlando Lee,Homem,1
Cecília Lescano Osório,Mulher,Edna Ayako Hoshino,Mulher,1
Celina Figueiredo,Mulher,Diane Castonguay,Mulher,1
Celina Figueiredo,Mulher,Luis Kowada,Homem,1
Celina M. H. de Figueiredo,Mulher,Diana Sasaki,Mulher,2
