Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Adenauer C. Yamin,Homem,Alexandra Zimpeck,Mulher,1
Adenauer C. Yamin,Homem,Alexandre Souza,Homem,1
Adenauer C. Yamin,Homem,Amanda Argou,Mulher,1
Adenauer C. Yamin,Homem,Ana Marilza Pernas,Mulher,3
Adenauer C. Yamin,Homem,Ana Pernas,Mulher,2
Adenauer C. Yamin,Homem,Bruno Mota,Homem,1
Adenauer C. Yamin,Homem,Cleber S. Peter,Homem,1
Adenauer C. Yamin,Homem,Cláudio Geyer,Homem,1
Adenauer C. Yamin,Homem,Diórgenes Y. L. da Rosa,Homem,1
Adenauer C. Yamin,Homem,Eduardo Abreu,Homem,1
Adenauer C. Yamin,Homem,Eduardo Monks,Homem,1
Adenauer C. Yamin,Homem,Felipe Haertel,Homem,1
Adenauer C. Yamin,Homem,Felipe Marques,Homem,1
Adenauer C. Yamin,Homem,Franklin Barcellos,Homem,1
Adenauer C. Yamin,Homem,Gerson Cavalheiro,Homem,1
Adenauer C. Yamin,Homem,Jorge Aranda,Homem,1
Adenauer C. Yamin,Homem,Jorge Barbosa,Homem,2
Adenauer C. Yamin,Homem,João Ladislau Lopes,Homem,1
Adenauer C. Yamin,Homem,João Lopes,Homem,1
Adenauer C. Yamin,Homem,João Tavares,Homem,1
Adenauer C. Yamin,Homem,Juliano Carvalho,Homem,1
Adenauer C. Yamin,Homem,Leandro Camargo,Homem,1
Adenauer C. Yamin,Homem,Lucas Dias,Homem,1
Adenauer C. Yamin,Homem,Lucas Penning,Homem,1
Adenauer C. Yamin,Homem,Mauricio Tavares,Homem,1
Adenauer C. Yamin,Homem,Patrick Fernandes,Homem,1
Adenauer C. Yamin,Homem,Renata Reiser,Mulher,2
Adenauer C. Yamin,Homem,Renato Dilli,Homem,2
Adenauer C. Yamin,Homem,Ricardo B. Almeida,Homem,2
Adenauer C. Yamin,Homem,Rodrigo Lambrecht,Homem,1
Adenauer C. Yamin,Homem,Rodrigo Real,Homem,1
Adenauer C. Yamin,Homem,Roger Machado,Homem,2
Adenauer C. Yamin,Homem,Rogério Albandes,Homem,1
Adilson Costa,Homem,Bruno Martini,Homem,1
Adilson Costa,Homem,Gilson Helfer,Homem,1
Adilson Costa,Homem,Jorge Barbosa,Homem,1
Adilson Costa,Homem,Reginaldo Santos,Homem,1
Alan Veloso,Homem,Antônio Abelém,Homem,1
Alan Veloso,Homem,Denis Rosário,Homem,1
Alan Veloso,Homem,Lucas B. Oliveira,Homem,1
Aldri Santos,Homem,Carmem Hara,Mulher,1
Aldri Santos,Homem,Katriny Zamproni,Mulher,1
Aldri Santos,Homem,Marcos Carrero,Homem,1
Aldri Santos,Homem,Martin A. Musicante,Homem,1
Alexandra S. Pereira,Mulher,Antonio A. F. Loureiro,Homem,1
Alexandra S. Pereira,Mulher,Fabrício A. Silva,Homem,1
Alexandra S. Pereira,Mulher,Luiz H. A. Correia,Homem,1
Alexandra S. Pereira,Mulher,Thais R. M. B. Silva,Mulher,1
Alexandra Zimpeck,Mulher,Cleber S. Peter,Homem,1
Alexandra Zimpeck,Mulher,Felipe Marques,Homem,1
Alexandra Zimpeck,Mulher,Lucas Penning,Homem,1
Alexandre Costa,Homem,Flávia Delicato,Mulher,1
Alexandre Costa,Homem,Jose Souza,Homem,1
Alexandre P. do Carmo,Homem,Leonardo A. Silva,Homem,1
Alexandre P. do Carmo,Homem,Mateus S. Menines,Homem,1
Alexandre P. do Carmo,Homem,Matheus D. de Oliveira,Homem,1
Alexandre P. do Carmo,Homem,Raquel F. Vassallo,Mulher,1
Alexandre P. do Carmo,Homem,Vinícius H. Izabel,Homem,1
Alexandre Pereira do Carmo,Homem,Clebeson Canuto dos Santos,Homem,1
Alexandre Pereira do Carmo,Homem,Douglas Almonfrey,Homem,1
Alexandre Pereira do Carmo,Homem,Felippe Mendonça de Queiroz,Homem,2
Alexandre Pereira do Carmo,Homem,Leonardo de Assis Silva,Homem,1
Alexandre Pereira do Carmo,Homem,Pedro Vinicius dos Santos Custodio,Homem,1
Alexandre Pereira do Carmo,Homem,Raquel Frizera Vassallo,Mulher,2
Alexandre Pereira do Carmo,Homem,Wagner Augusto Aranda Cotta,Homem,1
Alexandre Rocha,Homem,Denis Rosário,Homem,1
Alexandre Rocha,Homem,Francisco da Ponte,Homem,1
Alexandre Rocha,Homem,Gabriel Galdino,Homem,1
Alexandre Rocha,Homem,Joaquim Celestino Jr,Homem,1
Alexandre Rocha,Homem,Rafael Gomes,Mulher,1
Alexandre Souza,Homem,Franklin Barcellos,Homem,1
