Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Acacia Terra,Mulher,Braulio Mello,Homem,1
Acacia Terra,Mulher,Edimar Roque Martello Junior,Homem,1
Acacia Terra,Mulher,Ricardo Parizotto,Homem,1
Adenauer C. Yamin,Homem,Ana Marilza Pernas,Mulher,3
Adenauer C. Yamin,Homem,Anderson Cardoso,Homem,1
Adenauer C. Yamin,Homem,Cláudio Geyer,Homem,1
Adenauer C. Yamin,Homem,Douglas Scheunemann,Homem,1
Adenauer C. Yamin,Homem,Gerson Cavalheiro,Homem,1
Adenauer C. Yamin,Homem,Huberto Kaiser Filho,Homem,1
Adenauer C. Yamin,Homem,João Lopes,Homem,4
Adenauer C. Yamin,Homem,Leonardo João,Homem,2
Adenauer C. Yamin,Homem,Lucas Xavier,Homem,1
Adenauer C. Yamin,Homem,Nelsi Warken,Mulher,1
Adenauer C. Yamin,Homem,Patrick Fernandes,Homem,1
Adenauer C. Yamin,Homem,Patrícia Davet,Mulher,1
Adenauer C. Yamin,Homem,Renata Reiser,Mulher,1
Adenauer C. Yamin,Homem,Renato Dilli,Homem,1
Adenauer C. Yamin,Homem,Rodrigo Souza,Homem,1
Adenauer C. Yamin,Homem,Roger Machado,Homem,3
Adenauer C. Yamin,Homem,Rogério Albandes,Homem,2
Adenauer C. Yamin,Homem,Verônica Tabim,Mulher,1
Adiel de Almeida Filho,Homem,Diogo Lima Silva,Homem,1
Adiel de Almeida Filho,Homem,Julio Cezar Silva,Homem,1
Adrisson Rodrigues,Homem,João Marcos Cavalcanti,Homem,1
Adrisson Rodrigues,Homem,Marcela Pessoa,Mulher,1
Adrisson Rodrigues,Homem,Robson Melo,Homem,1
Adrisson Rodrigues,Homem,Sergio Cleger,Homem,1
Alan Afif Helal,Homem,Fábio da Cunha Garcia,Homem,1
Alan Afif Helal,Homem,Gilberto Fonseca Barroso,Homem,1
Alan Afif Helal,Homem,Roberto Colistete Junior,Homem,1
Alan Afif Helal,Homem,Rodolfo da Silva Villaça,Homem,1
Alan Fernandes,Homem,Bruna Soares,Mulher,1
Alan Fernandes,Homem,Bruno Matias,Homem,1
Alan Fernandes,Homem,Everton Cavalcante,Homem,2
Alan Fernandes,Homem,Felipe Rocha,Homem,2
Alan Fernandes,Homem,José Gameleira Neto,Homem,1
Alan Fernandes,Homem,Luís Felipe Santos,Homem,1
Alan Fernandes,Homem,Oswaldo de Oliveira,Homem,1
Alan Fernandes,Homem,Sâmela Ferreira,Mulher,1
Alan Fernandes,Homem,Thais Batista,Mulher,2
Alan Salvany Felinto,Homem,Rafael Lucien Bahr Arias,Homem,1
Aluizio Haendchen Filho,Homem,Anita Fernandes,Mulher,1
Aluizio Haendchen Filho,Homem,Jonathan Nau,Homem,1
Aluizio Haendchen Filho,Homem,Rudimar Luís Scaranto Dazzi,Homem,1
Aluizio Rocha Neto,Homem,Bárbara Soares,Mulher,1
Aluizio Rocha Neto,Homem,Felipe Barbalho,Homem,1
Aluizio Rocha Neto,Homem,Flavia C. Delicato,Mulher,1
Aluizio Rocha Neto,Homem,Lucas Santos,Homem,1
Aluizio Rocha Neto,Homem,Paulo F. Pires,Homem,1
Aluizio Rocha Neto,Homem,Thais Batista,Mulher,1
Amauri Holanda de Souza Junior,Homem,Tamara Arruda Pereira,Mulher,1
Ana Marilza Pernas,Mulher,Anderson Cardoso,Homem,1
Ana Marilza Pernas,Mulher,Gerson Cavalheiro,Homem,1
Ana Marilza Pernas,Mulher,Huberto Kaiser Filho,Homem,1
Ana Marilza Pernas,Mulher,João Lopes,Homem,3
Ana Marilza Pernas,Mulher,Leonardo João,Homem,2
Ana Marilza Pernas,Mulher,Lucas Xavier,Homem,1
Ana Marilza Pernas,Mulher,Nelsi Warken,Mulher,1
Ana Marilza Pernas,Mulher,Patrícia Davet,Mulher,1
Ana Marilza Pernas,Mulher,Rodrigo Souza,Homem,1
Ana Marilza Pernas,Mulher,Roger Machado,Homem,2
Ana Marilza Pernas,Mulher,Rogério Albandes,Homem,1
Ana Marilza Pernas,Mulher,Verônica Tabim,Mulher,1
Anderson Cardoso,Homem,Gerson Cavalheiro,Homem,1
Anderson Cardoso,Homem,João Lopes,Homem,1
Anderson Cardoso,Homem,Leonardo João,Homem,1
Anderson Cardoso,Homem,Roger Machado,Homem,1
Anderson Cardoso,Homem,Verônica Tabim,Mulher,1
Andrea G. C. Bianchi,Mulher,Carlos A. L. Mion,Homem,1
Andrea G. C. Bianchi,Mulher,Igor M. Pereira,Homem,1
Andrea G. C. Bianchi,Mulher,Ricardo A. R. Oliveira,Homem,1
Andrea G. C. Bianchi,Mulher,Ricardo C. Camara,Homem,1
Andrea G. C. Bianchi,Mulher,Vicente J. P. Amorim,Homem,1
Andreia Gentil Bonfante,Mulher,Claudia Aparecida Martins,Mulher,1
Andreia Gentil Bonfante,Mulher,Henrique Camacho Farias,Homem,1
André Kurt Amann Pereira,Homem,Rodrigo Filev Maia,Homem,1
André Kurt Amann Pereira,Homem,Yuri Marinho Olivatti,Homem,1
André Oliveira,Homem,Fernanda Campos,Mulher,1
André Oliveira,Homem,Lucas Bressan,Homem,1
André Oliveira,Homem,Regina Braga,Mulher,1
André Pinheiro,Homem,Cleidson Souza,Homem,1
André Pinheiro,Homem,Fernando Figueira Filho,Homem,1
André Pinheiro,Homem,Leandro de Almeida Melo,Homem,1
André Pinheiro,Homem,Nelson Tenório Jr.,Homem,1
André Yoshiaki Kashiwabara,Homem,Elenir Lila Leobet de Lima,Mulher,1
André Yoshiaki Kashiwabara,Homem,Everton da Silva,Homem,1
André Yoshiaki Kashiwabara,Homem,Fabrício Martins Lopes,Homem,1
Anita Fernandes,Mulher,Jonathan Nau,Homem,1
Anita Fernandes,Mulher,Rudimar Luís Scaranto Dazzi,Homem,1
Antonilson Alcantara,Homem,Cleidson Souza,Homem,1
Antonilson Alcantara,Homem,Emanuel Rodrigues,Homem,1
Antonilson Alcantara,Homem,Filipe Coelho,Homem,1
Antonio Brasil,Homem,Jefferson Andrade,Homem,1
Antonio Brasil,Homem,Karin Komati,Mulher,1
Antonio Brasil,Homem,Luiz Pinto,Homem,1
Antonio C. Oliveira Jr,Homem,Daniel S. Souza,Homem,1
Antonio C. Oliveira Jr,Homem,Diego L. Cardoso,Homem,1
Antonio C. Oliveira Jr,Homem,Igor W. A. Falcão,Homem,1
Antonio C. Oliveira Jr,Homem,Marcos C. R. Seruffo,Homem,1
Antonio C. Oliveira Jr,Homem,Paulo H. A. Pereira,Homem,1
Antonio C. Oliveira Jr,Homem,Rafael F. Vieira,Homem,1
Aron Miranda Henrique-Alves,Homem,Helton Maia,Homem,1
Aron Miranda Henrique-Alves,Homem,John Victor Alves Luiz,Homem,1
Aron Miranda Henrique-Alves,Homem,Richardson Santiago Teles de Menezes,Homem,1
Aron Miranda Henrique-Alves,Homem,Rossana Moreno Santa Cruz,Mulher,1
Arthur Artoni,Homem,Bruno Oliveira,Homem,1
Braulio Adriano de Mello,Homem,Ricardo Parizotto,Homem,1
Braulio Mello,Homem,Edimar Roque Martello Junior,Homem,1
Braulio Mello,Homem,Ricardo Parizotto,Homem,1
Brendo Cavalcante,Homem,Bruno F. Gadelha,Homem,1
Brendo Cavalcante,Homem,João Gustavo Kienen,Homem,1
Brendo Cavalcante,Homem,Julia Luiza da Conceição,Mulher,1
Brendo Cavalcante,Homem,Rosiane Freitas,Mulher,1
Brendo Cavalcante,Homem,Sérgio Anders,Homem,1
Bruna Soares,Mulher,Bruno Matias,Homem,1
Bruna Soares,Mulher,Everton Cavalcante,Homem,1
Bruna Soares,Mulher,Felipe Rocha,Homem,1
Bruna Soares,Mulher,Oswaldo de Oliveira,Homem,1
Bruna Soares,Mulher,Sâmela Ferreira,Mulher,1
Bruna Soares,Mulher,Thais Batista,Mulher,1
Bruno F. Gadelha,Homem,João Gustavo Kienen,Homem,1
Bruno F. Gadelha,Homem,Julia Luiza da Conceição,Mulher,1
Bruno F. Gadelha,Homem,Rosiane Freitas,Mulher,1
Bruno F. Gadelha,Homem,Sérgio Anders,Homem,1
Bruno Faiçal,Homem,Gerson Serejo,Homem,1
Bruno Faiçal,Homem,Gustavo Pessin,Homem,1
Bruno Faiçal,Homem,Heitor Freitas,Homem,1
Bruno Faiçal,Homem,Jó Ueyama,Homem,1
Bruno Faiçal,Homem,Marcelo Maia da Silva,Homem,1
Bruno Matias,Homem,Everton Cavalcante,Homem,1
Bruno Matias,Homem,Felipe Rocha,Homem,1
Bruno Matias,Homem,Oswaldo de Oliveira,Homem,1
Bruno Matias,Homem,Sâmela Ferreira,Mulher,1
Bruno Matias,Homem,Thais Batista,Mulher,1
Bruno N. M. S. Conte,Homem,Roberto C. L. de Oliveira,Homem,1
Bruno N. M. S. Conte,Homem,Thiago N.M. S. Conte,Homem,1
Bárbara Soares,Mulher,Felipe Barbalho,Homem,1
Bárbara Soares,Mulher,Flavia C. Delicato,Mulher,1
Bárbara Soares,Mulher,Lucas Santos,Homem,1
Bárbara Soares,Mulher,Paulo F. Pires,Homem,1
Bárbara Soares,Mulher,Thais Batista,Mulher,1
Caio C. Viel,Homem,Cesar A. C. Teixeira,Homem,1
Caio C. Viel,Homem,Isabela Zaine,Mulher,1
Caio C. Viel,Homem,Kamila R. H. Rodrigues,Mulher,1
Caio C. Viel,Homem,Maria da Graça C. Pimentel,Mulher,1
Carla Marina C. Paxiúba,Mulher,Celson Pantoja Lima,Homem,1
Carla Sanches Nere dos Santos,Mulher,Igor Muzetti Pereira,Homem,1
Carla Sanches Nere dos Santos,Mulher,Vicente José Peixoto de Amorim,Homem,1
Carla Verônica Marques,Mulher,Carlo Oliveira,Homem,1
Carla Verônica Marques,Mulher,Claudia Motta,Mulher,1
Carlo Oliveira,Homem,Claudia Motta,Mulher,1
Carlos A. L. Mion,Homem,Igor M. Pereira,Homem,1
Carlos A. L. Mion,Homem,Ricardo A. R. Oliveira,Homem,1
Carlos A. L. Mion,Homem,Ricardo C. Camara,Homem,1
Carlos A. L. Mion,Homem,Vicente J. P. Amorim,Homem,1
Carlos Kamienski,Homem,Juliano Ratusznei,Homem,1
Carlos Kamienski,Homem,Waleska Zanotto,Mulher,1
Carolina Paula de Almeida,Mulher,Josiel N. Kuk,Homem,1
Carolina Paula de Almeida,Mulher,Lucas M. Pavelski,Homem,1
Carolina Paula de Almeida,Mulher,Richard Aderbal Gonçalves,Homem,1
Carolina Paula de Almeida,Mulher,Sandra Mara G. S. Venske,Mulher,1
Carolinne Roque e Faria,Mulher,Maurilio Martins Campano Júnior,Homem,1
Celciane Alves Vasconcelos,Mulher,Edio Roberto Manfio,Homem,1
Celciane Alves Vasconcelos,Mulher,Fabiane Cristina Altino,Mulher,1
Celciane Alves Vasconcelos,Mulher,Fábio Carlos Moreno,Homem,1
Celciane Alves Vasconcelos,Mulher,Marcelo Ozawa de Sousa,Homem,1
Celciane Alves Vasconcelos,Mulher,Maria Renata de Mira Gobbo,Mulher,1
Celso Alberto Saibel Santos,Homem,Fábio Franco de Oliveira,Homem,1
Celso Alberto Saibel Santos,Homem,Roberto Colistete Junior,Homem,1
Celso Alberto Saibel Santos,Homem,Rodolfo da Silva Villaça,Homem,1
Cesar A. C. Teixeira,Homem,Isabela Zaine,Mulher,1
Cesar A. C. Teixeira,Homem,Kamila R. H. Rodrigues,Mulher,1
Cesar A. C. Teixeira,Homem,Maria da Graça C. Pimentel,Mulher,1
Claudia Aparecida Martins,Mulher,Henrique Camacho Farias,Homem,1
Claudia Motta,Mulher,Paulo Roberto Filho,Homem,1
Claudia Motta,Mulher,Walkir Brito,Homem,1
Claudia Motta,Mulher,Zeca Borges,Homem,1
Cleidson Souza,Homem,Emanuel Rodrigues,Homem,1
Cleidson Souza,Homem,Fernando Figueira Filho,Homem,1
Cleidson Souza,Homem,Filipe Coelho,Homem,1
Cleidson Souza,Homem,Leandro de Almeida Melo,Homem,1
Cleidson Souza,Homem,Nelson Tenório Jr.,Homem,1
Cláudia Caroline L. de Oliveira,Mulher,Marcos César da Rocha Seruffo,Homem,1
Cláudia Caroline L. de Oliveira,Mulher,Renan Patrick de C. Marçal,Homem,1
Cláudio Geyer,Homem,Douglas Scheunemann,Homem,1
Cláudio Geyer,Homem,João Lopes,Homem,1
Cristiano Galafassi,Homem,Eliseo Reategui,Homem,1
Cristiano Galafassi,Homem,Fabiane Galafassi,Mulher,1
Cristiano Galafassi,Homem,Rosa Vicari,Mulher,1
Cristiano Martins Monteiro,Homem,Cristina Duarte Murta,Mulher,2
Cristiano Martins Monteiro,Homem,Fábio Rocha da Silva,Homem,2
