Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Adolfo Gustavo S. Seca Neto,Homem,Kathleen Danielly Souza Lins,Mulher,1
Adolfo Gustavo S. Seca Neto,Homem,Maria Claudia Figueiredo Pereira Emer,Mulher,1
Adolfo Gustavo S. Seca Neto,Homem,Mariangela de Oliveira Gomes Setti,Mulher,1
Adolfo Gustavo S. Seca Neto,Homem,Tainara Silva Novaes,Mulher,1
Adriane Parraga,Mulher,Débora Mattos,Mulher,1
Adriane Parraga,Mulher,Fabricia Damando Santos,Mulher,1
Adriane Parraga,Mulher,Luana Sperling Santana,Mulher,1
Adriano Braga,Homem,Gabryella da S. Garcia,Mulher,1
Adriano Braga,Homem,Ianka Assis,Mulher,1
Adriano Braga,Homem,Letícia S. Camargo,Mulher,2
Adriano Braga,Homem,Maria Alice N. Silva,Mulher,2
Adriano Braga,Homem,Maria Isabela S. Nunes,Mulher,1
Adriano Braga,Homem,Natália C. Louzada,Mulher,4
Adriano Braga,Homem,Ramayane B. Braga,Mulher,4
Adriano Braga,Homem,Sara L. de Farias,Mulher,2
Adriano Braga,Homem,Thalia S. Santana,Mulher,5
Adrielly C. E. Dias,Mulher,Daniela C. Terra,Mulher,1
Adrielly C. E. Dias,Mulher,Isabella A. D. Melo,Mulher,1
Adrielly C. E. Dias,Mulher,Leticia M. M. S. Cheloni,Mulher,1
Adrielly C. E. Dias,Mulher,Raylla L. S. Gama,Mulher,1
Adrielly C. E. Dias,Mulher,Suelen M. de Paula,Mulher,1
Adrya Araújo,Mulher,Bruna Mariana F. de Souza,Mulher,2
Adrya Araújo,Mulher,Fabiola Guerra Nakamura,Mulher,2
Adrya Araújo,Mulher,Jeovana Leão,Mulher,2
Adrya Araújo,Mulher,Julis Figueira de Araújo,Homem,2
Adrya Araújo,Mulher,Kalil Ferreira,Homem,2
Adrya Araújo,Mulher,Mariana Barros,Mulher,2
Adrya Araújo,Mulher,Tanara Lauschner,Mulher,2
Agatha Alves Martins Rodrigues,Mulher,Ariadna Carreiro de Miranda,Mulher,1
Agatha Alves Martins Rodrigues,Mulher,Claudia Sousa Barbosa,Mulher,1
Agatha Alves Martins Rodrigues,Mulher,Lucas Lima Sousa Torres,Homem,1
Agatha Alves Martins Rodrigues,Mulher,Maria Rodrigues Gomes,Mulher,1
Agatha Alves Martins Rodrigues,Mulher,Simone de Oliveira Santos,Mulher,1
Aleksandra Dias,Mulher,Alessandra Barros,Mulher,1
Aleksandra Dias,Mulher,Giorgia O. Mattos,Mulher,1
Aleksandra Dias,Mulher,Josilene A. Moreira,Mulher,1
Aleksandra Dias,Mulher,Laura Campos,Mulher,1
Aleksandra Dias,Mulher,Luana Almeida,Mulher,1
Aleksandra Dias,Mulher,Nelly Martins,Mulher,1
Aleksandra Dias,Mulher,Thaís Andrade,Mulher,1
Alessandra A. Paulino,Mulher,Elaine R. Faria,Mulher,1
