Autor,Grau (Centralidade),Gênero
Rafael Escalfoni,0.0368,Homem
Heremita Lima,0.0368,Mulher
Claiton Correa,0.0257,Homem
Matheus Lorenzato Braga,0.0257,Homem
Victor Martins de Sousa,0.0257,Homem
Lucas Mudo de Araújo,0.0257,Homem
André G. Pereira,0.0221,Homem
Cleyton Gomes,0.0221,Homem
Anderson Souza,0.0221,Homem
Lúcio Zebendo,0.0221,Homem
Emmerson Silva,0.0221,Homem
Carlos Lima,0.0221,Homem
Samyra Almeida,0.0221,Mulher
Gabriel Souza,0.0221,Homem
Alexandre Morais,0.0221,Homem
Tiago Barbosa,0.0221,Homem
Helder Rangel,0.0221,Homem
Nadja Rodrigues,0.0221,Mulher
Gustavo Moreira,0.0221,Homem
Vinícius Vieira,0.0221,Homem
Paula de Freitas,0.0184,Mulher
Gustavo Ribeiro,0.0184,Homem
Juan Barros,0.0184,Homem
Rerisson Matos,0.0184,Homem
Marcelo de Almeida,0.0184,Homem
Bruno César Vani,0.0184,Homem
Marcio Piffer,0.0184,Homem
