Autor,Grau (Centralidade),Gênero
Jayme L. Szwarcfiter,0.0751,Homem
Orlando Lee,0.0516,Homem
Eduardo C. Xavier,0.0469,Homem
Flavio Miyazawa,0.0469,Homem
Vinicius F. Santos,0.0469,Homem
Mário César San Felice,0.0423,Homem
Fábio Botler,0.0423,Homem
Marcelo Benedito,0.0376,Homem
Ana Silva,0.0376,Mulher
Ueverton Souza,0.0376,Homem
Rosiane Freitas,0.0376,Mulher
Paulo E. D. Pinto,0.0376,Homem
Flávio K. Miyazawa,0.0376,Homem
Alexandre Cezar,0.0376,Homem
Fabiano Oliveira,0.0376,Homem
Leandro M. Zatesko,0.0329,Homem
Ulysses Rocha,0.0329,Homem
Natanael Ramos,0.0329,Homem
Ana Karolina Maia,0.0329,Mulher
Rafael Cano,0.0329,Homem
Lucas Melo,0.0329,Homem
