Autor,Grau (Centralidade),Gênero
Adenauer C. Yamin,0.0982,Homem
Denis Rosário,0.0596,Homem
Cristiano A. da Costa,0.0526,Homem
Jorge Barbosa,0.0456,Homem
Ana Marilza Pernas,0.0386,Mulher
Andre L. L. Aquino,0.0386,Homem
Rafael Gomes,0.0386,Homem
Eduardo Cerqueira,0.0351,Homem
Rossana M. C. Andrade,0.0351,Mulher
Cláudio Geyer,0.0351,Homem
Ana M. Pernas,0.0351,Mulher
Igor P. Maurell,0.0316,Homem
Jônatas D. Fraga,0.0316,Homem
Ricardo N. Rodrigues,0.0316,Homem
Gerson Cavalheiro,0.0316,Homem
Alexsander V. Canez,0.0316,Homem
Fabrício A. Silva,0.0316,Homem
Gisele M. Simas,0.0316,Mulher
Henrique de S. Conceição,0.0316,Homem
Mariana P. Fernandes,0.0316,Mulher
Marlon R. C. Franco,0.0316,Homem
Regina Barwaldt,0.0316,Mulher
Matheus C. Corrêa,0.0316,Homem
Danielo G. Gomes,0.0281,Homem
Andre Aquino,0.0281,Homem
Rafael Pasquini,0.0281,Homem
Nicolás Hidalgo,0.0281,Homem
Martín Gutiérrez,0.0281,Homem
