Autor,Grau (Centralidade),Gênero
Luis Rivero,0.0583,Homem
Christiane G. von Wangenheim,0.0233,Mulher
Geraldo Braz Junior,0.02,Homem
Kennedy Nunes,0.02,Homem
Alana Araujo,0.02,Mulher
Simara Rocha,0.02,Mulher
Carlos R. Beleti Junior,0.02,Homem
Gabriel Costa,0.02,Homem
Nathasha Pinto,0.02,Mulher
Davi Viana,0.0183,Homem
Andrea Charão,0.0183,Mulher
Luciana Foss,0.0167,Mulher
Andre R. Ortoncelli,0.0167,Homem
Lucas F. Silva,0.0167,Homem
Reinaldo B. Braga,0.0167,Homem
Carlos Portela,0.0167,Homem
João Pinheiro,0.0167,Homem
Janaina Gomide,0.015,Mulher
Simone R. S. Souza,0.015,Mulher
Igor N. dos Santos,0.0133,Homem
Marcos Henrique A. da Silva,0.0133,Homem
Paulo R. P. da Silva,0.0133,Homem
Renata Reiser,0.0133,Mulher
Ana Rita Mazzini,0.0133,Mulher
Andre Du Bois,0.0133,Homem
Clause Piana,0.0133,Mulher
Matheus Maranhão R. Praxedes,0.0133,Homem
Matheus Lima M. de Araújo,0.0133,Homem
Diogo V. Dantas,0.0133,Homem
Diego Filipe S. de Lima,0.0133,Homem
Bianca Karla A. de S. Melo,0.0133,Mulher
Aline M. Araújo,0.0133,Mulher
Gil Andrade,0.0133,Homem
Simone Cavalheiro,0.0133,Mulher
Diego Hoss,0.0133,Homem
Rafael Santos,0.0133,Homem
Sandra Oliveira,0.0117,Homem
Giovana Lorena Costa de Andrade,0.0117,Mulher
Álvaro Gabriel Gomes de Oliveira,0.0117,Homem
Wilton Silva dos Santos Júnior,0.0117,Homem
Julia Godinho,0.0117,Mulher
João Choma Neto,0.0117,Homem
Fabiano Oliveira,0.0117,Homem
Maikon Costa,0.0117,Homem
Karla Silva,0.0117,Mulher
Raimundo Neto,0.0117,Homem
Wilk Oliveira,0.0117,Homem
Elisa de Fátima Andrade Soares,0.0117,Mulher
Rommel Wladimir de Lima,0.0117,Homem
Estephane Mendes,0.0117,Mulher
Giovanna Pavani,0.0117,Mulher
Luis Galonetti,0.0117,Homem
Johnny Marques,0.0117,Homem
Esdras Bispo Jr.,0.0117,Homem
Andre T. Endo,0.0117,Homem
Paulo Nardi,0.0117,Homem
Murylo Lopes,0.0117,Homem
Bruno Lima,0.0117,Homem
Placida Oliveira,0.0117,Mulher
Anselmo Paiva,0.0117,Homem
