Autor,Grau (Centralidade),Gênero
Maristela Holanda,0.0481,Mulher
Rosiane Freitas,0.0407,Mulher
Silvia Amelia Bim,0.0314,Mulher
Tanara Lauschner,0.0314,Mulher
Elisa Rocha,0.0314,Mulher
Aleteia Patrícia F. de Araújo,0.0314,Mulher
Larissa Pessoa,0.0277,Mulher
Cristiano Maciel,0.0277,Homem
Carla Cavalcante Koike,0.0259,Mulher
Aleteia P. F. Araujo,0.0259,Mulher
Roberta B. Oliveira,0.0259,Mulher
Mirella M. Moro,0.0259,Mulher
Tabatta Martins,0.024,Mulher
Laura Emmanuella de Oliveira,0.024,Mulher
Júlia Marotti,0.024,Mulher
Janaina Gomide,0.024,Mulher
Julia Godinho,0.024,Mulher
Beatriz Becker,0.024,Mulher
Giana Ferreira,0.024,Homem
Milena Estanislau,0.024,Mulher
Valeria Nunes Belmonte,0.024,Mulher
Francisco Campos,0.024,Homem
Gabriel SantClair,0.024,Homem
Vanessa Dantas,0.024,Mulher
Carla Castanho,0.024,Mulher
Kalinka Castelo Branco,0.024,Mulher
Camila Laricchia,0.024,Mulher
Denise Siloto,0.024,Mulher
Flávia Villela,0.024,Mulher
Diane Rosa da Silva,0.0222,Mulher
Claudia Santos Fernandes,0.0222,Mulher
Clara Scatena da Silva,0.0222,Mulher
Giovanna Mara Paes Franco,0.0222,Mulher
Maria Eduarda Alves Barbosa,0.0222,Mulher
Ariadne Nicoly Mori de Paula,0.0222,Mulher
Bianca Fernandes Ribas,0.0222,Mulher
Maria Victoria S. Fiori,0.0222,Mulher
Giorgia Mattos,0.0222,Mulher
Luana Arfux de Castro Nogueira,0.0222,Mulher
Marcia Ferreira Cristaldo,0.0222,Mulher
Marta Luzzi,0.0222,Mulher
Nayara Arruda Cunha,0.0222,Mulher
Alice Barbosa do Couto,0.0222,Mulher
Amanda Raynara Quintana Theodoro,0.0222,Mulher
Anna Beatriz Marques,0.0203,Mulher
Fabiola G. Nakamura,0.0203,Mulher
Lara Tenore,0.0185,Mulher
Beatriz Chicaroni,0.0185,Mulher
Camila Sass,0.0185,Mulher
Carla Rodriguez,0.0185,Mulher
Rosimeire Santana,0.0185,Mulher
Rafaela V. Rocha,0.0185,Mulher
Melissa Lins,0.0185,Mulher
Maria Eduarda Brandão,0.0185,Mulher
