Autor,Grau (Centralidade),Gênero
Francisco Airton Silva,0.068,Homem
Daniel Menasch,0.064,Homem
Alex B. Vieira,0.044,Homem
Paulo A. L. Rego,0.04,Homem
Danielo G. Gomes,0.04,Homem
Laécio Rodrigues,0.032,Homem
Iure Fé,0.032,Homem
Edson L. Padoin,0.032,Homem
Philippe O. A. Navaux,0.032,Homem
Artur Ziviani,0.032,Homem
Daniel de Oliveira,0.028,Homem
Vinicius Klõh,0.028,Homem
Mariza Ferro,0.028,Mulher
Rodrigo Gandra,0.028,Homem
Gabriel G. Silva,0.028,Mulher
Ricardo Bragança,0.028,Homem
Andre Bulcão,0.028,Homem
Bruno Schulze,0.028,Homem
André Yokoyama,0.028,Homem
Jairo Panetta,0.028,Homem
Júlio Mendonça,0.024,Homem
Daniel Figueiredo,0.024,Homem
Ermeson Andrade,0.024,Homem
Lucas Mello Schnorr,0.024,Homem
Italo Cunha,0.024,Homem
