Autor,Grau (Centralidade),Gênero
Luis Rivero,0.0155,Homem
Rosiane Freitas,0.0129,Mulher
Adenauer C. Yamin,0.0125,Homem
Maristela Holanda,0.011,Mulher
Denis Rosário,0.0102,Homem
Davi Viana,0.0079,Homem
Daniel Menasch,0.0079,Homem
Janaina Gomide,0.0076,Mulher
Julia Godinho,0.0072,Mulher
Reinaldo B. Braga,0.0072,Homem
Thais Batista,0.0068,Mulher
Fabiola G. Nakamura,0.0068,Mulher
Jayme L. Szwarcfiter,0.0064,Homem
Eduardo Cerqueira,0.0064,Homem
Jorge Barbosa,0.0064,Homem
Silvia Amelia Bim,0.0064,Mulher
Francisco Airton Silva,0.0064,Homem
Aleteia Patrícia F. de Araújo,0.0064,Mulher
Cristiano Maciel,0.0064,Homem
Elisa Rocha,0.0064,Mulher
Mirella M. Moro,0.0064,Mulher
Tanara Lauschner,0.0064,Mulher
Renata Reiser,0.006,Mulher
Ana Marilza Pernas,0.006,Mulher
João Lopes,0.006,Homem
Giana Ferreira,0.0057,Homem
Carlos R. Beleti Junior,0.0057,Homem
Danielo G. Gomes,0.0057,Homem
Carina Oliveira,0.0057,Mulher
Vinicius F. Santos,0.0057,Homem
Cristiano A. da Costa,0.0057,Homem
Rossana M. C. Andrade,0.0057,Mulher
Fabiano Oliveira,0.0057,Homem
Emanuel Coutinho,0.0057,Homem
Larissa Pessoa,0.0057,Mulher
Vanessa Dantas,0.0057,Mulher
Gabriel SantClair,0.0057,Homem
Rebeca de Jesus Brandão,0.0057,Mulher
Leonardo Rocha,0.0053,Homem
Aleteia P. F. Araujo,0.0053,Mulher
Anna Beatriz Marques,0.0053,Mulher
Carlos A. Silva,0.0053,Homem
Christiane G. von Wangenheim,0.0053,Mulher
Carla Cavalcante Koike,0.0053,Mulher
Roberta B. Oliveira,0.0053,Mulher
Paulo A. L. Rego,0.0053,Homem
Francisco Campos,0.0049,Homem
Denise Siloto,0.0049,Mulher
Beatriz Becker,0.0049,Mulher
Valeria Nunes Belmonte,0.0049,Mulher
Milena Estanislau,0.0049,Mulher
Tabatta Martins,0.0049,Mulher
Laura Emmanuella de Oliveira,0.0049,Mulher
Júlia Marotti,0.0049,Mulher
Ana M. Pernas,0.0049,Mulher
Orlando Lee,0.0049,Homem
Juliana M. Oliveira dos Santos,0.0049,Mulher
Francisco A. Silva,0.0049,Homem
Kalinka Castelo Branco,0.0049,Mulher
Flávia Villela,0.0049,Mulher
Camila Laricchia,0.0049,Mulher
Gerson Cavalheiro,0.0049,Homem
Carla Castanho,0.0049,Mulher
Josilene A. Moreira,0.0045,Mulher
Bianca Fernandes Ribas,0.0045,Mulher
Alice Barbosa do Couto,0.0045,Mulher
Kennedy Nunes,0.0045,Homem
Geraldo Braz Junior,0.0045,Homem
Alana Araujo,0.0045,Mulher
Simara Rocha,0.0045,Mulher
Giovanna Mara Paes Franco,0.0045,Mulher
Nathasha Pinto,0.0045,Mulher
Silvia A. Bim,0.0045,Mulher
Amanda Raynara Quintana Theodoro,0.0045,Mulher
Marcia Ferreira Cristaldo,0.0045,Mulher
Luana Arfux de Castro Nogueira,0.0045,Mulher
Giorgia Mattos,0.0045,Mulher
Diane Rosa da Silva,0.0045,Mulher
Clara Scatena da Silva,0.0045,Mulher
Claudia Santos Fernandes,0.0045,Mulher
Maria Eduarda Alves Barbosa,0.0045,Mulher
Marta Luzzi,0.0045,Mulher
Eliana Almeida,0.0045,Mulher
Gabriel Costa,0.0045,Homem
Nayara Arruda Cunha,0.0045,Mulher
Helder Oliveira,0.0045,Homem
Ariadne Nicoly Mori de Paula,0.0045,Mulher
Marcos Henrique A. da Silva,0.0045,Homem
Maria Victoria S. Fiori,0.0045,Mulher
Fabrício A. Silva,0.0042,Homem
Andrea Charão,0.0042,Mulher
Carla Rodriguez,0.0042,Mulher
Roger Machado,0.0042,Homem
Claudia Motta,0.0042,Mulher
Thalia S. Santana,0.0042,Mulher
Vinicius R. P. Borges,0.0042,Homem
Everton Cavalcante,0.0042,Homem
Andre L. L. Aquino,0.0042,Homem
Fernanda Pires,0.0042,Mulher
Kalinka Branco,0.0042,Mulher
Alex B. Vieira,0.0042,Homem
Carla Ilane Moreira Bezerra,0.0042,Mulher
Rafael Gomes,0.0042,Homem
Karin Komati,0.0042,Mulher
João Gabriel R. Silva,0.0042,Homem
André G. Pereira,0.0042,Homem
Maria Eduarda Brandão,0.0038,Mulher
Lidia Ferreira,0.0038,Mulher
Luciana Foss,0.0038,Mulher
Fabíola Pantoja O. Araújo,0.0038,Mulher
Lara Tenore,0.0038,Mulher
Denise Goya,0.0038,Mulher
Camila Sass,0.0038,Mulher
Melissa Lins,0.0038,Mulher
Felipe Rocha,0.0038,Homem
João Pinheiro,0.0038,Homem
Rafaela V. Rocha,0.0038,Mulher
Kamila Almeida Benevides,0.0038,Mulher
Luana Júlia Nunes Ferreira,0.0038,Mulher
Kelly Bianca Araujo Silva,0.0038,Mulher
Ester de Lima Pontes Andrade,0.0038,Mulher
Marina da S. Rocha,0.0038,Mulher
Cláudio Geyer,0.0038,Homem
Gabriel G. Silva,0.0038,Mulher
Bruna Mariana F. de Souza,0.0038,Mulher
Rafael Escalfoni,0.0038,Homem
Beatriz Chicaroni,0.0038,Mulher
Fábio Botler,0.0038,Homem
Letícia Gindri,0.0038,Mulher
Flavio Miyazawa,0.0038,Homem
Lucas Santos,0.0038,Homem
Artur Ziviani,0.0038,Homem
Flávio K. Miyazawa,0.0038,Homem
Andre R. Ortoncelli,0.0038,Homem
Natália de Assis Sousa,0.0038,Mulher
Rosimeire Santana,0.0038,Mulher
Lucas F. Silva,0.0038,Homem
Thaíse Costa,0.0038,Mulher
Carlos Portela,0.0038,Homem
Philippe O. A. Navaux,0.0038,Homem
Eduardo C. Xavier,0.0038,Homem
Heremita Lima,0.0038,Mulher
Cleidson Souza,0.0038,Homem
Johnny Marques,0.0034,Homem
Ayslan Trevizan Possebom,0.0034,Homem
Daniela Eloise Flôr,0.0034,Mulher
Raquel Bravo,0.0034,Mulher
Igor P. Maurell,0.0034,Homem
Adriano Braga,0.0034,Homem
Matheus C. Corrêa,0.0034,Homem
Regina Barwaldt,0.0034,Mulher
Alexsander V. Canez,0.0034,Homem
Gisele M. Simas,0.0034,Mulher
Henrique de S. Conceição,0.0034,Homem
Ana Luísa S. Milson,0.0034,Mulher
Alan Fernandes,0.0034,Homem
Eduardo Henrique Molina da Cruz,0.0034,Homem
Felipe Assis,0.0034,Homem
Natália C. Louzada,0.0034,Mulher
Flavia C. Delicato,0.0034,Mulher
Sandra Oliveira,0.0034,Homem
André Barreto,0.0034,Homem
Amanda Meincke Melo,0.0034,Mulher
Simone R. S. Souza,0.0034,Mulher
Michele A. Brandão,0.0034,Mulher
Marcella D. Ferreira,0.0034,Mulher
Luísa M. Laboissiere,0.0034,Mulher
Mário César San Felice,0.0034,Homem
Jean Moraes,0.0034,Homem
André Silva,0.0034,Homem
Thamires P. Silva,0.0034,Mulher
Tais A. Oliveira,0.0034,Mulher
Márcia Gonçalves Oliveira,0.0034,Mulher
Ana Júlia L. Briceño,0.0034,Mulher
Bianca P. Castro,0.0034,Mulher
Rodrigo Santos,0.0034,Homem
Jacilane de H. Rabelo,0.0034,Mulher
Ana Sofia S. Silvestre,0.0034,Mulher
Lauana M. C. de Oliveira,0.0034,Mulher
Ricardo N. Rodrigues,0.0034,Homem
Ramayane B. Braga,0.0034,Mulher
Renato Dilli,0.0034,Homem
Jônatas D. Fraga,0.0034,Homem
Mariana P. Fernandes,0.0034,Mulher
Marlon R. C. Franco,0.0034,Homem
Andre Aquino,0.0034,Homem
Marcela Pessoa,0.003,Mulher
Rafael C. S. Schoeury,0.003,Homem
Ana Flávia C. Moura,0.003,Mulher
Lilian Giselly Pereira Santos,0.003,Mulher
Igor W. A. Falcão,0.003,Homem
Diego L. Cardoso,0.003,Homem
Gil Andrade,0.003,Homem
Diego Hoss,0.003,Homem
Márcia Oliveira,0.003,Mulher
Italo Cunha,0.003,Homem
Paulo E. D. Pinto,0.003,Homem
Maria Emília T. Walter,0.003,Mulher
Clara Marques Bodart,0.003,Mulher
Ecivaldo Matos,0.003,Homem
Ana Carolina Nesso Guedes,0.003,Mulher
Laécio Rodrigues,0.003,Homem
Marcelo Benedito,0.003,Homem
Paulo H. A. Pereira,0.003,Homem
Rafael F. Vieira,0.003,Homem
Rodrigo Pereira dos Santos,0.003,Homem
Bianca Karla A. de S. Melo,0.003,Mulher
Diego Filipe S. de Lima,0.003,Homem
Diogo V. Dantas,0.003,Homem
Rita C. G. Berardi,0.003,Mulher
Martín Gutiérrez,0.003,Homem
Ana Rita Mazzini,0.003,Mulher
Andre Du Bois,0.003,Homem
Igor N. dos Santos,0.003,Homem
Rodrigo S. Miani,0.003,Homem
Rafael Pasquini,0.003,Homem
Augusto V. Neto,0.003,Homem
Paulo R. Coelho,0.003,Homem
Rhayane S. Monteiro,0.003,Mulher
Matheus Lima M. de Araújo,0.003,Homem
Matheus Maranhão R. Praxedes,0.003,Homem
Paulo R. P. da Silva,0.003,Homem
Aline M. Araújo,0.003,Mulher
Indra Matsiendra C. D. Ribeiro,0.003,Mulher
Izabela A. Andrade,0.003,Mulher
Julia M. M. Gonçalves,0.003,Mulher
Isabela Gasparini,0.003,Mulher
Eduardo Grampín,0.003,Homem
Erika Rosas,0.003,Mulher
Javier Baliosian,0.003,Homem
Clause Piana,0.003,Mulher
Simone Cavalheiro,0.003,Mulher
Nicolás Hidalgo,0.003,Homem
Rodrigo R. Righi,0.003,Homem
Antônio Alberti,0.003,Homem
Iure Fé,0.003,Homem
Rafael Santos,0.003,Homem
Ueverton Souza,0.003,Homem
Yoshiharu Kohayakawa,0.003,Homem
Ana Silva,0.003,Mulher
Alexandre Cezar,0.003,Homem
Joel J. P. C. Rodrigues,0.003,Homem
Daniel H. Dalip,0.003,Homem
Débora Abdalla Santos,0.003,Mulher
Edson L. Padoin,0.003,Homem
Marcelino S. da Silva,0.003,Homem
Adrya Araújo,0.0026,Mulher
Bruno Matias,0.0026,Homem
Bruna Soares,0.0026,Mulher
Mariana Barros,0.0026,Mulher
Dayvson Sales,0.0026,Homem
Ivaldir H. de Farias Junior,0.0026,Homem
Wagner Fontes,0.0026,Homem
André Luiz de O. Cezário,0.0026,Homem
Victor Accete,0.0026,Homem
Samuel Lucas V. L. Barbosa,0.0026,Homem
Marcelo Augusto Rauh Schimitt,0.0026,Homem
John Davi D. C. Pires,0.0026,Homem
Larissa Kiana Santos Azevedo Martins,0.0026,Mulher
Lilian Stavizki,0.0026,Mulher
Tayana Nery Franca,0.0026,Mulher
Nayana Borges das Mercês,0.0026,Mulher
Fábio Yoshimitsu Okuyama,0.0026,Homem
Fernanda Nunes Deitos,0.0026,Mulher
