Autor,Grau (Centralidade),Gênero
Vinicius F. Santos,0.0258,Homem
Mirella M. Moro,0.0206,Mulher
Fernando Magno Quintão Pereira,0.0206,Homem
Erickson R. Nascimento,0.0206,Homem
Flávio K. Miyazawa,0.0206,Homem
Daniel M. Palomino,0.0155,Homem
Phablo F. S. Moura,0.0155,Homem
Jayme L. Szwarcfiter,0.0155,Homem
Wagner I. Penny,0.0155,Homem
Marcelo S. Porto,0.0155,Homem
Claudson Bornstein,0.0155,Homem
Bruno Zatt,0.0155,Homem
Tanilson D. Santos,0.0155,Homem
Caroline Collange,0.0155,Mulher
Marcos Yukio Siraichi,0.0155,Homem
Uéverton S. Souza,0.0155,Homem
Uéverton dos Santos Souza,0.0155,Homem
Luiz Vieira,0.0103,Homem
Rodolfo W. L. Coutinho,0.0103,Homem
