Autor,Grau (Centralidade),Gênero
Adenauer Yamin,0.0457,Homem
Thais Batista,0.0457,Mulher
Everton Cavalcante,0.033,Homem
Mateus Coelho Silva,0.033,Homem
Adenauer Correa Yamin,0.0279,Homem
Denis Rosário,0.0254,Homem
Felipe Rocha,0.0254,Homem
Alan Fernandes,0.0228,Homem
Jorge Barbosa,0.0228,Homem
Renata Hax Sander Reiser,0.0228,Mulher
Diego L. Cardoso,0.0203,Homem
Rafael F. Vieira,0.0203,Homem
Igor W. A. Falcão,0.0203,Homem
Paulo H. A. Pereira,0.0203,Homem
João Lopes,0.0203,Homem
Ricardo A. R. Oliveira,0.0203,Homem
Marcelino S. da Silva,0.0203,Homem
Victor Accete,0.0178,Homem
Wagner Fontes,0.0178,Homem
Bruno Matias,0.0178,Homem
Pedro Neto,0.0178,Homem
Pedro Araújo,0.0178,Homem
Daliton Silva,0.0178,Homem
Rodrigo Rocha,0.0178,Homem
Sandino Lamarca,0.0178,Homem
Michele A. Brandão,0.0178,Mulher
Luiz Paulo Carvalho,0.0178,Homem
Jonice Oliveira,0.0178,Mulher
Flávia Maria Santoro,0.0178,Mulher
Guilherme Melquíades,0.0178,Homem
Jean Araujo,0.0178,Homem
Igor Vanderlei,0.0178,Homem
Rebeca de Jesus Brandão,0.0178,Mulher
Fábio J. Coutinho,0.0178,Homem
Samuel Lucas V. L. Barbosa,0.0178,Homem
Bruna Soares,0.0178,Mulher
Cleidson Souza,0.0178,Homem
André Luiz de O. Cezário,0.0178,Homem
Dayvson Sales,0.0178,Homem
