Autor,Grau (Centralidade),Gênero
Rodrigo Pereira dos Santos,0.0988,Homem
Ariel Teles,0.0432,Homem
Tercio Sousa,0.0432,Homem
Inaldo Costa,0.0432,Homem
Emanuel Coutinho,0.0432,Homem
Arlindo da Conceição,0.0432,Homem
Alexandre Aragão,0.0432,Homem
Davi Viana,0.0432,Homem
Francisco Silva,0.0432,Homem
Luis Rivero,0.0432,Homem
Aloísio Alkmim de Oliveira Filho,0.0432,Homem
Vanessa Michalsky Barbosa,0.0432,Mulher
Taís Pinheiro Borges Silva,0.0432,Mulher
Tayana Nery Franca,0.0432,Mulher
Nayana Borges das Mercês,0.0432,Mulher
Larissa Kiana Santos Azevedo Martins,0.0432,Mulher
