Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Abner M. C. Araújo,Homem,0.0005,1
Manuel M. Oliveira Neto,Homem,0.0011,2
Acacia Terra,Mulher,0.0016,3
Braulio Mello,Homem,0.0016,3
Edimar Roque Martello Junior,Homem,0.0016,3
Ricardo Parizotto,Homem,0.0022,4
Adauto Filho,Homem,0.0027,5
Bruno Santos,Homem,0.0027,5
Franciely Souza,Mulher,0.0027,5
Hígor Santos,Homem,0.0027,5
Irandir Amorim,Homem,0.0027,5
Maria Silva,Mulher,0.0027,5
Adenauer Yamin,Homem,0.0098,26
Ana Marilza Pernas,Mulher,0.0033,7
Ana Pernas,Mulher,0.0027,5
Bruno Mota,Homem,0.0022,4
Felipe Haertel,Homem,0.0033,8
Jorge Aranda,Homem,0.0027,5
Jorge Barbosa,Homem,0.0093,19
João Lopes,Homem,0.0044,9
João Tavares,Homem,0.0022,4
Juliano Carvalho,Homem,0.0027,5
Leandro Camargo,Homem,0.0033,8
Lucas Dias,Homem,0.0027,5
Mauricio Tavares,Homem,0.0027,5
Patrick Fernandes,Homem,0.0016,3
Renata Reiser,Mulher,0.0055,10
Renato Dilli,Homem,0.0016,3
Rodrigo Real,Homem,0.0022,4
Roger Machado,Homem,0.0022,6
Rogério Albandes,Homem,0.0022,6
Adiel de Almeida Filho,Homem,0.0011,2
Diogo Lima Silva,Homem,0.0011,2
Julio Cezar Silva,Homem,0.0011,2
Adilson Costa,Homem,0.0022,4
Bruno Martini,Homem,0.0022,4
Gilson Helfer,Homem,0.0022,4
Ronaldo Santos,Homem,0.0022,4
Adriana Paula Zamim Scherer,Mulher,0.0005,1
Filipo Novo Mór,Homem,0.0005,1
Adriane C. A. da Silva,Mulher,0.0005,1
Luciano T. E. Pansanato,Homem,0.0005,1
Adrianne Veras de Almeida,Mulher,0.0011,2
Adrielle Veras de Almeida,Mulher,0.0011,2
Fabíola Pantoja O. Araújo,Mulher,0.006,14
Adriano Braga,Homem,0.0027,6
Alexandre F. Lopes,Homem,0.0022,4
Ianka Assis,Mulher,0.0022,4
Natália C. Louzada,Mulher,0.006,14
Ramayane Braga,Mulher,0.0022,4
Thalia Santana,Mulher,0.0027,6
Adriano F. Borgatto,Homem,0.0016,3
Christiane Gresse von Wangenheim,Mulher,0.0016,3
Gustavo de Castro Salvador,Homem,0.0016,3
Marcelo Fernando Rauber,Homem,0.0016,3
Adriano Fiorese,Homem,0.0005,1
Kauã B. Hopfer,Homem,0.0005,1
Adriano H. Braga,Homem,0.0044,13
Letícia S. Camargo,Mulher,0.0027,5
Maria Alice N. Silva,Mulher,0.0027,5
Maria Isabela S. Nunes,Mulher,0.0027,5
Ramayane B. Braga,Mulher,0.0038,10
Sara L. de Farias,Mulher,0.0027,5
Thalia S. Santana,Mulher,0.0049,14
Adriano Kamimura Suzuki,Homem,0.0005,1
Matheus Henrique Junqueira Saldanha,Homem,0.0011,2
Adriano Yasuda,Homem,0.0033,6
Diego Hoss,Homem,0.0044,9
Gil Andrade,Homem,0.0044,9
Jonatas Nascimento,Homem,0.0033,6
Josepher Silva,Homem,0.0033,6
Levy Silva,Homem,0.0033,6
Roberta Suero,Mulher,0.0033,6
Adrielly C. E. Dias,Mulher,0.0027,5
Daniela C. Terra,Mulher,0.0027,5
Isabella A. D. Melo,Mulher,0.0027,5
Leticia M. M. S. Cheloni,Mulher,0.0027,5
