Autor,Comunidade_ID,Gênero
Vitor Hugo M. Gomes,0,Homem
Alice Barbosa,11,Mulher
Beatriz Becker,2,Mulher
Julia M. M. Gonçalves,3,Mulher
Rodrigo Cardoso,3,Homem
Oswaldo de Oliveira,4,Homem
Edna Canedo,5,Mulher
José Diogo A. de Sousa,6,Homem
Lillia S. B. Silva,7,Mulher
Italo Cunha,8,Homem
Michele A. Brandão,3,Mulher
Kamilly Cristine Gomes,3,Mulher
Nicolás Hidalgo,9,Homem
Eduardo Tavares,6,Homem
Leandro Schneider,14,Homem
Delano Maia,12,Homem
Lucas B. Oliveira,13,Homem
Denis Rosário,13,Homem
Guto Leoni,10,Homem
Jorge Pereira,4,Homem
Brenno Nascimento,7,Homem
Adauto Filho,13,Homem
Gustavo Callou,6,Homem
Felipe Silva,7,Homem
Victoria Luisi,6,Mulher
Sean W. M. Siqueira,16,Homem
Eduardo Spies,5,Homem
Matheus Martins,8,Homem
Leandro P. de Aguiar,8,Homem
Edison Ishikawa,5,Homem
Amilton L. M. Júnior,5,Homem
Italo Dovera,7,Homem
Antônio Abelém,13,Homem
Daniel Victor Saraiva,11,Homem
Darlan Eziquiel Felisberto da Silva,14,Homem
Thiago M. R. Ribeiro,16,Homem
Carla Costa,1,Mulher
Maurício Neto,12,Homem
Leonardo Marques,13,Homem
Eduarda L. de V. M. Marques,1,Mulher
Adriano Yasuda,11,Homem
Claudia Motta,8,Mulher
Hanna Alves,12,Mulher
Vanessa Dantas,14,Mulher
Weverson Nascimento,0,Homem
Thaíse Costa,14,Mulher
Maurício Moreira Neto,12,Homem
Francisco Silva,7,Homem
Daniel H. Dalip,3,Homem
Marcelino S. da Silva,0,Homem
Andrea Charão,14,Mulher
Andréia Antloga,13,Mulher
Camille Jesus,11,Mulher
Juliana Freire,3,Mulher
Silas Pereira,11,Homem
André Riker,13,Homem
Tatyane S. C. da Silva,1,Mulher
André Soares,10,Homem
Flávia Villela,2,Mulher
Carla Delgado,8,Mulher
Patricia Takako Endo,10,Mulher
Flavio S Correa da Silva,5,Homem
Wanderson Modesto,13,Homem
Rafael Lopes,13,Homem
Rodrigo Santos,7,Homem
João Victor Moreira,2,Homem
João Pedro Cavalcanti Uchoa,6,Homem
Alan Rodrigues,12,Homem
Lana Gomes,11,Mulher
Alexandre Neves Louzada,3,Homem
Alex Barradas Filho,7,Homem
Silas Lima Filho,3,Homem
Francisco A. Rocha,10,Homem
Sâmela Ferreira,4,Mulher
Luiz C. Ferreira,0,Homem
Everton Cavalcante,4,Homem
Luiz Paulo Carvalho,3,Homem
Rodrigo Dutra,0,Homem
Dyego Carlos Sales de Morais,6,Homem
Carlo Oliveira,11,Homem
Vinicius R. P. Borges,5,Homem
Emanuel Coutinho,12,Homem
Laura Emmanuella de Oliveira,2,Mulher
Daniel Carvalho,10,Homem
Roberta B. Oliveira,5,Mulher
Aline de Galés Silva,3,Mulher
Ana Júlia L. Briceño,5,Mulher
Alison Vinicius,6,Homem
Edelberto Franco,10,Homem
Marcus Amorim,8,Homem
José Gameleira Neto,4,Homem
Karla Silva,7,Mulher
Douglas Lima,14,Homem
Ian Nery Bandeira,5,Homem
Felipe Viegas,0,Homem
Alexandre Rocha,13,Homem
Helen Ferreira,11,Mulher
Anselmo Paiva,7,Homem
Francisco de Albuquerque Júnior,0,Homem
Ewerton Queiroz,6,Homem
Eduardo Cerqueira,13,Homem
Bruno Santos,13,Homem
Ricardo Anchieta,7,Homem
Giovanna Pavani,7,Mulher
Brena Santos,10,Mulher
Gabriel Costa,7,Homem
Alexandre Costa,16,Homem
Pedro Paulo Balbi,4,Homem
Iolanda Agnes D. Ribeiro,3,Mulher
Igor Dantas,14,Homem
Ubiratan Bezerra,13,Homem
Camila Laricchia,2,Mulher
Vanilze Vaz,0,Mulher
Carla Verônica Marques,8,Mulher
Martín Gutiérrez,9,Homem
Daliton Silva,15,Homem
Ricardo Franco,14,Homem
Carla Cavalcante Koike,5,Mulher
Augusto Neto,9,Homem
Bruna Diirr,16,Mulher
Matheus Paixão,12,Homem
Zeca Borges,8,Homem
Elen Lobato,13,Mulher
Iago Medeiros,13,Homem
Jonatas Nascimento,11,Homem
Flávia C. Delicato,16,Mulher
Mateus S. Nogueira,8,Homem
Silas S. L. Pereira,11,Homem
Marco Antoni,14,Homem
Mônica Ferreira da Silva,3,Mulher
Wellington Lemos,14,Homem
Igor Vanderlei,15,Homem
José Cunha,14,Homem
Paulo R. Coelho,9,Homem
Valeria Nunes Belmonte,2,Mulher
Pamella Soares,12,Mulher
Flávia Mendes de Andrade e Peres,6,Mulher
Bruno Pereira,16,Homem
Patrícia Cabral de Azevedo Restelli Tedesco,6,Mulher
Lucas L. Silva,14,Homem
Luis Rivero,7,Homem
Tiago Trotta,0,Homem
Clemer dos S. Silva,13,Homem
Gulherme Andrade,0,Homem
Carlos Brito,10,Homem
Ana Júlia Taqueuti,2,Mulher
Eduardo Grampín,9,Homem
Juliana C. S. do Outão,16,Mulher
Júlia Marotti,2,Mulher
Edgar Oliveira,11,Homem
Katia Salles,7,Mulher
Pedro Araújo,15,Homem
Marcela Z. de Moura,5,Mulher
Juliana F. dos Santos,6,Mulher
Renato Mota,13,Homem
Franciely Souza,13,Mulher
Ermeson Andrade,6,Homem
Daniel C. Cunha,10,Homem
Gabriel P. Oliveira,3,Homem
Ednara Pereira,7,Mulher
João Victor Lopes,4,Homem
Gustavo Y. S. Azevedo,7,Homem
Allan M. de Souza,13,Homem
Júlio César Resende,0,Homem
Jailma da silva,14,Mulher
Davi Viana,7,Homem
Flávia Carvalho,7,Mulher
Maikon Costa,7,Homem
Jose Souza,16,Homem
Laís M. A. Rocha,3,Mulher
Débora Zumpichiatti,2,Mulher
Juliana Espíndola Botelho,3,Mulher
Fernando Leite,7,Homem
Geraldo Braz Junior,7,Homem
Igor C. Sodré,5,Homem
Lucas Santos,10,Homem
André Carvalho,14,Homem
Welton T. M. Sousa,7,Homem
Eduardo Lima,13,Homem
Dilma Da Silva,5,Mulher
