Autor,Comunidade_ID,Gênero
Bruno Masquio,0,Homem
Claudson Bornstein,0,Homem
Danielle Martins,0,Mulher
Fabiano Oliveira,0,Homem
Fabiano de S. Oliveira,0,Homem
Flavia Bonomo,0,Mulher
Flavia Bonomo-Braberman,0,Mulher
Giancarlo F. Roberto,0,Homem
Igor M. Coelho,0,Homem
Jamille Silva,0,Mulher
Jayme L. Szwarcfiter,0,Homem
Jorge Goulart,0,Homem
José Wilson C. Pinto,0,Homem
Juan P. A. Lopes,0,Homem
Moysés S. Sampaio Jr.,0,Homem
Paulo E. D. Pinto,0,Homem
Paulo Eustáquio D. Pinto,0,Homem
Paulo Pinto,0,Homem
Raquel M. Souza,0,Mulher
Tanilson Santos,0,Homem
Valmir C. Barbosa,0,Homem
Vitor Tocci Ferreira de Luca,0,Homem
Ana Valladares Zerbinato,1,Mulher
Beatriz Lopes Souza,1,Mulher
Camille Braga,1,Mulher
Carla Leitão,1,Mulher
Claudia Cappelli,1,Mulher
Fábio Silva,1,Homem
Gabriela Hecksher,1,Mulher
Karina Mochetti,1,Mulher
Kayalla Pontes,1,Mulher
Luciana Salgado,1,Mulher
Raquel Bravo,1,Mulher
Rodolfo Oliveira,1,Homem
Simone Gama,1,Mulher
Ueverton Souza,1,Homem
Cristiano Maciel,2,Homem
Gisela Cesario,2,Mulher
Isabela Gasparini,2,Mulher
Jean Carlos Oliveira Santos,2,Homem
Jean Rangel,2,Homem
João Bernado,2,Homem
Jéssica Azevedo,2,Mulher
Karen Ribeiro,2,Mulher
Karen da Silva Figueiredo,2,Mulher
Karen da Silva Figueiredo Medeiros Ribeiro,2,Mulher
Karla Pereira,2,Mulher
Leticia Fleig Dal Forno,2,Mulher
Leticia Santos Machado,2,Mulher
Ligia Cristina Battezzati,2,Mulher
Mariana Cristina Marino,2,Mulher
Mateus Santos,2,Homem
Matheus Mattos de Almeida Cruz,2,Homem
Monique Casagranda,2,Mulher
Pedro Clarindo da Silva Neto,2,Homem
Rayane Vitorassi,2,Mulher
Regiane Macuch,2,Mulher
Rita C. G. Berardi,2,Mulher
Sabrina B. Sassi,2,Mulher
Silvia A. Bim,2,Mulher
Silvia Amelia Bim,2,Mulher
Suellen Barros Ramos,2,Mulher
Suliane de Oliveira Carneiro,2,Mulher
Suzany Angeli,2,Mulher
Vinícius Carvalho Pereira,2,Homem
Alex Calado,3,Homem
Alex Gliesch,3,Homem
Ana Santos,3,Mulher
Anderson Daniel Stochero,3,Homem
Anderson Stochero,3,Homem
André G. Pereira,3,Homem
Augusto B. Corrêa,3,Homem
Bruna Kopplin,3,Mulher
Cristiane Stamberg,3,Mulher
Cristiane da Silva Stamberg,3,Mulher
Eduardo Souto,3,Homem
Elaine Oliveira,3,Mulher
Henrique Becker,3,Homem
Leandro Carvalho,3,Homem
Luciana S. Buriol,3,Mulher
Marcus Ritt,3,Homem
Ricardo Souza,3,Homem
Samuel Müller Forrati,3,Homem
Toni I. Wickert,3,Homem
Eduardo F. Nakamura,4,Homem
Juan Colonna,4,Homem
Marco Cristo,4,Homem
Nabson Silva,4,Homem
Thais G. Almeida,4,Mulher
Waldomiro J. G. Seabra,4,Homem
Alberto F. Kummer Neto,5,Homem
Ana Luísa V. Solórzano,5,Mulher
Ana Solórzano,5,Mulher
Andrea Charão,5,Mulher
Andrea Schwertner Charão,5,Mulher
Benhur de O. Stein,5,Homem
Cassiano Andrei Dias da Silveira Schneider,5,Homem
Cassiano Schneider,5,Homem
Douglas Lima,5,Homem
Fernando P. Barbosa,5,Homem
Iago C. Corrêa,5,Homem
Igor Dantas,5,Homem
Jose Neto,5,Homem
João V. F. Lima,5,Homem
Karina Wiechork,5,Mulher
Leandro Schneider,5,Homem
Lourival Neto,5,Homem
Lucas F. Silva,5,Homem
Marlon L. S. Rodrigues,5,Homem
Patrícia P. Barcelos,5,Mulher
Rafael G. Trindade,5,Homem
Alan D. A. Carneiro,6,Homem
Alan Diêgo Aurélio Carneiro,6,Homem
Fábio Protti,6,Homem
João Guilherme Martinez,6,Homem
João V. S. Leite,6,Homem
Loana T. Nogueira,6,Mulher
Lorrana F. de Castro,6,Mulher
Marcos Bedo,6,Homem
Priscila Camargo,6,Mulher
Raquel S. F. Bravo,6,Mulher
Rodolfo A. de Oliveira,6,Homem
Rodrigo Lamblet Mafort,6,Homem
Uéverton S. Santos,6,Homem
Adrisson Rodrigues,7,Homem
Fabrizio Franzoia,7,Homem
Fernanda Pires,7,Mulher
João Marcos Cavalcanti,7,Homem
Karolayne Teixeira,7,Mulher
Luiz Alencar,7,Homem
Marcela Pessoa,7,Mulher
Robson Melo,7,Homem
Sergio Cleger,7,Homem
Ana Carolina Marcelino,8,Mulher
Antony B. Turra,8,Homem
Eliane Pozzebon,8,Mulher
Francielli Freitas Moro,8,Mulher
Joice P. Cardoso,8,Mulher
Kaleandra C. Almeida,8,Mulher
Laís Dalle Mulle,8,Mulher
Luciana B. Frigo,8,Mulher
Maitê Thomazi Manenti,8,Mulher
Marcelly Homem Coelho,8,Mulher
