Autor,Comunidade_ID,Gênero
Bruno Masquio,0,Homem
Claudson Bornstein,0,Homem
Danielle Martins,0,Mulher
Fabiano Oliveira,0,Homem
Fabiano de S. Oliveira,0,Homem
Flavia Bonomo,0,Mulher
Flavia Bonomo-Braberman,0,Mulher
Giancarlo F. Roberto,0,Homem
Igor M. Coelho,0,Homem
Jamille Silva,0,Mulher
Jayme L. Szwarcfiter,0,Homem
Jorge Goulart,0,Homem
José Wilson C. Pinto,0,Homem
Juan P. A. Lopes,0,Homem
Moysés S. Sampaio Jr.,0,Homem
Paulo E. D. Pinto,0,Homem
Paulo Eustáquio D. Pinto,0,Homem
Paulo Pinto,0,Homem
Raquel M. Souza,0,Mulher
Simone Gama,0,Mulher
Tanilson Santos,0,Homem
Ueverton Souza,0,Homem
Valmir C. Barbosa,0,Homem
Vitor Tocci Ferreira de Luca,0,Homem
Adrisson Rodrigues,1,Homem
Cristiano Maciel,1,Homem
Fabrizio Franzoia,1,Homem
Fernanda Pires,1,Mulher
Jean Carlos Oliveira Santos,1,Homem
Jean Rangel,1,Homem
João Bernado,1,Homem
João Marcos Cavalcanti,1,Homem
Jéssica Azevedo,1,Mulher
Karen Ribeiro,1,Mulher
Karen da Silva Figueiredo,1,Mulher
Karen da Silva Figueiredo Medeiros Ribeiro,1,Mulher
Karla Pereira,1,Mulher
Karolayne Teixeira,1,Mulher
Leticia Fleig Dal Forno,1,Mulher
Leticia Santos Machado,1,Mulher
Luiz Alencar,1,Homem
Marcela Pessoa,1,Mulher
Monique Casagranda,1,Mulher
Pedro Clarindo da Silva Neto,1,Homem
Rayane Vitorassi,1,Mulher
Regiane Macuch,1,Mulher
Robson Melo,1,Homem
Sabrina B. Sassi,1,Mulher
Sergio Cleger,1,Homem
Silvia A. Bim,1,Mulher
Suellen Barros Ramos,1,Mulher
Suliane de Oliveira Carneiro,1,Mulher
Vinícius Carvalho Pereira,1,Homem
Ana Lúcia Machado,2,Mulher
Ariel Bentes,2,Homem
Brendo Cavalcante,2,Homem
Bruna Mariana Souza,2,Mulher
Bruno Dias,2,Homem
Bruno F. Gadelha,2,Homem
David B. F. Oliveira,2,Homem
Elaine H. T. Oliveira,2,Mulher
Elton Lever,2,Homem
Fabiola G. Nakamura,2,Mulher
Igor Steinmacher,2,Homem
Ingrid Santos,2,Mulher
Isabelly Oliveira,2,Mulher
Javier Marenco,2,Homem
João Gustavo Kienen,2,Homem
Julia Luiza da Conceição,2,Mulher
Juliana Magalhães,2,Mulher
Karla Susiane Pereira,2,Mulher
Larissa Pessoa,2,Mulher
Leandro S. G. Carvalho,2,Homem
Ludymila Lobo,2,Mulher
Marcos Salvatierra,2,Homem
Nelson Maculan,2,Homem
Omar Vilca,2,Homem
Rosiane Freitas,2,Mulher
Sérgio Anders,2,Homem
Tanara Lauschner,2,Mulher
Tayana Conte,2,Mulher
Taynah Almeida,2,Mulher
Victoria P. S. Aires,2,Mulher
Victória Aires,2,Mulher
Eduardo F. Nakamura,3,Homem
Juan Colonna,3,Homem
Marco Cristo,3,Homem
Nabson Silva,3,Homem
Thais G. Almeida,3,Mulher
Waldomiro J. G. Seabra,3,Homem
Alberto F. Kummer Neto,4,Homem
Ana Luísa V. Solórzano,4,Mulher
Ana Solórzano,4,Mulher
Andrea Charão,4,Mulher
Andrea Schwertner Charão,4,Mulher
Benhur de O. Stein,4,Homem
Cassiano Andrei Dias da Silveira Schneider,4,Homem
Cassiano Schneider,4,Homem
Douglas Lima,4,Homem
Fernando P. Barbosa,4,Homem
Iago C. Corrêa,4,Homem
Igor Dantas,4,Homem
Jose Neto,4,Homem
João V. F. Lima,4,Homem
Karina Wiechork,4,Mulher
Leandro Schneider,4,Homem
Lourival Neto,4,Homem
Lucas F. Silva,4,Homem
Marlon L. S. Rodrigues,4,Homem
Patrícia P. Barcelos,4,Mulher
Rafael G. Trindade,4,Homem
Alan D. A. Carneiro,5,Homem
Alan Diêgo Aurélio Carneiro,5,Homem
Fábio Protti,5,Homem
João Guilherme Martinez,5,Homem
João V. S. Leite,5,Homem
Loana T. Nogueira,5,Mulher
Lorrana F. de Castro,5,Mulher
Marcos Bedo,5,Homem
Priscila Camargo,5,Mulher
Raquel S. F. Bravo,5,Mulher
Rodolfo A. de Oliveira,5,Homem
Rodrigo Lamblet Mafort,5,Homem
Uéverton S. Santos,5,Homem
Felipe Lisboa,6,Homem
Gisela Cesario,6,Mulher
Isabela Gasparini,6,Mulher
Juliana de Santi,6,Mulher
Keiko V. O. Fonseca,6,Mulher
Leander de Oliveira,6,Homem
Ligia Cristina Battezzati,6,Mulher
Luiz A. Pellison,6,Homem
Luiz C. Gomes Jr.,6,Homem
Luiz E. Merkle,6,Homem
Marcelo O. Rosa,6,Homem
Maria Cláudia F. P. Emer,6,Mulher
Mariana Cristina Marino,6,Mulher
Mariana Michels Fontoura,6,Mulher
Mariângela O. G. Setti,6,Mulher
Marília A. Amaral,6,Mulher
Mateus Santos,6,Homem
Matheus Mattos de Almeida Cruz,6,Homem
