Nome_Original,Nome_Canonico
Adenauer Yamin,Adenauer C. Yamin
Adenauer Corrêa Yamin,Adenauer Correa Yamin
Adriano H. Braga,Adriano Braga
Alessandro Copetti,Alessandro Arpetti
Aletéia Patrícia F. Araújo,Aleteia Patrícia F. de Araújo
Aletéia Patrícia. F. de Araujo,Aleteia Patrícia F. de Araújo
Alex Vieira,Alex B. Vieira
Luiz Alexandre Costa,Alexandre Costa
Alexandre Lopes,Alexandre F. Lopes
Ana Flávia S. A. Moura,Ana Flávia C. Moura
Ana Pernas,Ana M. Pernas
Anderson Cardozo,Anderson Cardoso
André Aquino,Andre Aquino
André L. L. Aquino,Andre L. L. Aquino
André R. Ortoncelli,Andre R. Ortoncelli
Andrea S. Charão,Andrea Charão
André Pereira,André G. Pereira
Andréa Pereira,André G. Pereira
André Luiz P. Guedes,André L. P. Guedes
Anna Raquel da S. Marinho,Anna Raquel S. Marinho
Artur Souza,Arthur Souza
Bianca Santana,Bianca L. Santana
Bruno C. da Silva,Bruna A. da Silva
Bruno Gadelha,Bruno F. Gadelha
Bruno P. Masquio,Bruno Masquio
Carina T. Oliveira,Carina Oliveira
Carla I. M. Bezerra,Carla I. M Bezerra
Carla Negri Lintzmayer,Carla N. Lintzmayer
Carlos Silva,Carla Silva
Karla Silva,Carla Silva
Mauro Oliveira,Carlo Oliveira
Carlos Roberto Beleti Junior,Carlos R. Beleti Junior
Christiane Gresse von Wangenheim,Christiane G. von Wangenheim
Claudson F. Bornstein,Claudson Bornstein
Cleidson de Souza,Cleidson Souza
Cristiano André da Costa,Cristiano A. da Costa
Cristina G. Fernandes,Cristina Fernandes
Cristopher G. S. Freitas,Cristopher Freitas
César Silva,César D. Silva
César da Silva,César D. Silva
Daniel R. Figueiredo,Daniel Figueiredo
Daniel Menasché,Daniel Menasch
Daniel S. Menasché,Daniel Menasch
Daniela F. Brauner,Daniela Brauner
Ecivaldo S. Matos,Ecivaldo Matos
Edmilson Barbalho Campos Neto,Edmilson Barbalho C. Neto
Edson Luiz Padoin,Edson L. Padoin
Edson T. Midorikawa,Edson Midorikawa
Eduardo Alves da Silva,Eduardo A. da Silva
Gil Eduardo Andrade,Eduardo Andrade
Eduardo Xavier,Eduardo C. Xavier
Eduardo H. Gomes,Eduardo Gomes
Eduardo Teixeira,Eduardo H. Teixeira
Eliana S. Almeida,Eliana Almeida
Emanuel F. Coutinho,Emanuel Coutinho
Welverton da Silva,Everton da Silva
Evilásio Costa Júnior,Evilasio Costa Junior
Ewerton R. Andrade,Ewerton Andrade
Fabiano S. Oliveira,Fabiano Oliveira
Fábio Oliveira,Fabiano Oliveira
Fabiano de Souza Oliveira,Fabiano de S. Oliveira
Flavio Rangel,Fabio Rangel
Fabíola G. Nakamura,Fabiola G. Nakamura
Fabíola Nakamura,Fabiola G. Nakamura
Fabrício Silva,Fabrício A. Silva
Felipe S. Abrahão,Felipe Abrahão
Filipe Fernandes,Filipe C. Fernandes
Flávia C. Delicato,Flavia C. Delicato
Flávio Miyazawa,Flavio Miyazawa
Flávio Keidi Miyazawa,Flávio K. Miyazawa
Franciny M. Barreto,Franciny Barreto
Francisco J. M. Silva,Francisco A. Silva
Francisco Silva,Francisco A. Silva
Hiran Ferreira,Giana Ferreira
Giorgia O. Mattos,Giorgia Mattos
Gleison Santos,Glederson Santos
Gulherme Andrade,Guilherme Andrade
Heremita Lira,Heremita Lima
Hyuri S. Maciel,Hyuri Maciel
Igor Santos,Hígor Santos
Igor W. S. Falcão,Igor W. A. Falcão
Ítalo Cunha,Italo Cunha
Ivaldir de Farias Junior,Ivaldir H. de Farias Junior
Janáına Gomide,Janaína Gomide
Jayme Luiz Szwarcfiter,Jayme L. Szwarcfiter
Jayme Szwarcfiter,Jayme L. Szwarcfiter
José Jorge Lima Dias Júnior,José Jorge Lima Dias Jr.
José Luís Güntzel,José Luís A. Güntzel
João Paulo P. Gomes,João P. P. Gomes
Juan G. Colonna,Juan Colonna
Jucimar Souza,Jucimar B. Souza
Júlia Luiza Conceição,Julia Luiza da Conceição
Juliana Maria Oliveira dos Santos,Juliana M. Oliveira dos Santos
Kalinka C. Branco,Kalinka Branco
Karina Branco,Kalinka Branco
Karina Castelo Branco,Kalinka Castelo Branco
Karin S. Komati,Karin Komati
Leonardo O. Moreira,Leonardo Moreira
Leonardo S. Rocha,Leonardo Rocha
Liria Sato,Liria M. Sato
Lucas Silva,Lucas F. Silva
Lucas de Araújo,Lucas Mudo de Araújo
Luis Santos,Lucas Santos
Luciana Bolan Frigo,Luciana B. Frigo
Luís Guilherme Eich,Luis Guilherme Eich
Manuel M. Oliveira Neto,Manuel M. Oliveira
Marcel Rios,Marcel L. Rios
Marcia Kniphoff da Cruz,Marcia E. J. Kniphoff da Cruz
Marcos C. da R. Seruffo,Marcos C. R. Seruffo
Marianne Kogut Eliasquevici,Marianne Eliasquevici
Murilo Souza,Marlo Souza
Matheus Eloy Franco,Matheus E. Franco
Maurício M. Neto,Mauricio M. Neto
Maurício M. Arimoto,Maurício Arimoto
Michelle G. Cacais,Michelle Cacais
Mirella Moro,Mirella M. Moro
Moysés Sampaio Jr,Moysés S. Sampaio Jr.
Moysés Sampaio Jr.,Moysés S. Sampaio Jr.
Márcia Gonçalves de Oliveira,Márcia Gonçalves Oliveira
Natália Louzada,Natália C. Louzada
Núbia Rosa da Silva,Nubia Rosa da Silva
Osvaldo Rosso,Osvaldo A. Rosso
Patrícia S. de Lima,Patricia S. de Lima
Patrícia P. de A. Barcelos,Patrícia P. Barcelos
Rafael C. S. Schouery,Rafael C. S. Schoeury
Rafael Gauna Trindade,Rafael G. Trindade
Ramayane Braga,Ramayane B. Braga
Raquel M. de Souza,Raquel M. Souza
Reinaldo Braga,Reinaldo B. Braga
Renata Viegas de Figueiredo,Renata V. de Figueiredo
Rhayane da S. Monteiro,Rhayane S. Monteiro
Ricardo B. Almeida,Ricardo Almeida
Ricardo de Souza,Ricardo Souza
Roberto Bittencourt,Roberto A. Bittencourt
Roberto Colistete Júnior,Roberto Colistete Junior
Rodrigo R. da Silva,Rodrigo A. C. da Silva
Rodrigo de Souza,Rodrigo Souza
Roger S. Machado,Roger Machado
Rosiane de Freitas,Rosiane Freitas
Rubens Sucupira,Rubens A. Sucupira
Sandro Oliveira,Sandra Oliveira
Sergio T. Carvalho,Sergio Carvalho
Sheila M. de Almeida,Sheila M. Almeida
Silvia Bim,Silvia A. Bim
Silvia Amélia Bim,Silvia Amelia Bim
Sílvia Amélia Bim,Silvia Amelia Bim
Sônia Regina Fortes da Silva,Sônia R. Fortes da Silva
Taciana Pontual Falcão,Taciana Pontual Falcão
Thalia Santana,Thalia S. Santana
Uéverton Souza,Ueverton Souza
Valéria Feltrim,Valéria D. Feltrim
Vanessa F. Dantas,Vanessa Dantas
Vinicius R. S. dos Santos,Vinicius F. dos Santos
Vinicius dos Santos,Vinicius F. dos Santos
Vinícius F. dos Santos,Vinicius F. dos Santos
