Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Evento
Clevi Rapkiewicz,Mulher,Nani Castilho,Mulher,WIT
Clevi Rapkiewicz,Mulher,Simone Fogazzi,Mulher,WIT
Nani Castilho,Mulher,Simone Fogazzi,Mulher,WIT
Adrielly C. E. Dias,Mulher,Daniela C. Terra,Mulher,WIT
Adrielly C. E. Dias,Mulher,Isabella A. D. Melo,Mulher,WIT
Adrielly C. E. Dias,Mulher,Leticia M. M. S. Cheloni,Mulher,WIT
Adrielly C. E. Dias,Mulher,Raylla L. S. Gama,Mulher,WIT
Adrielly C. E. Dias,Mulher,Suelen M. de Paula,Mulher,WIT
Daniela C. Terra,Mulher,Isabella A. D. Melo,Mulher,WIT
Daniela C. Terra,Mulher,Leticia M. M. S. Cheloni,Mulher,WIT
Daniela C. Terra,Mulher,Raylla L. S. Gama,Mulher,WIT
Daniela C. Terra,Mulher,Suelen M. de Paula,Mulher,WIT
Isabella A. D. Melo,Mulher,Leticia M. M. S. Cheloni,Mulher,WIT
Isabella A. D. Melo,Mulher,Raylla L. S. Gama,Mulher,WIT
Isabella A. D. Melo,Mulher,Suelen M. de Paula,Mulher,WIT
Leticia M. M. S. Cheloni,Mulher,Raylla L. S. Gama,Mulher,WIT
Leticia M. M. S. Cheloni,Mulher,Suelen M. de Paula,Mulher,WIT
Raylla L. S. Gama,Mulher,Suelen M. de Paula,Mulher,WIT
Cristiano Maciel,Homem,Sabrina B. Sassi,Mulher,WEI
Cristiano Maciel,Homem,Vinícius Carvalho Pereira,Homem,WEI
Sabrina B. Sassi,Mulher,Vinícius Carvalho Pereira,Homem,WEI
Marcos Diniz,Homem,Marianne Eliasquevici,Mulher,WEI
Alan Fernandes,Homem,Everton Cavalcante,Homem,SEMISH
Alan Fernandes,Homem,Felipe Rocha,Homem,SEMISH
Alan Fernandes,Homem,José Gameleira Neto,Homem,SEMISH
Alan Fernandes,Homem,Luís Felipe Santos,Homem,SEMISH
Alan Fernandes,Homem,Thais Batista,Mulher,SEMISH
Everton Cavalcante,Homem,Felipe Rocha,Homem,SEMISH
Everton Cavalcante,Homem,José Gameleira Neto,Homem,SEMISH
Everton Cavalcante,Homem,Luís Felipe Santos,Homem,SEMISH
Everton Cavalcante,Homem,Thais Batista,Mulher,SEMISH
Felipe Rocha,Homem,José Gameleira Neto,Homem,SEMISH
Felipe Rocha,Homem,Luís Felipe Santos,Homem,SEMISH
Felipe Rocha,Homem,Thais Batista,Mulher,SEMISH
José Gameleira Neto,Homem,Luís Felipe Santos,Homem,SEMISH
José Gameleira Neto,Homem,Thais Batista,Mulher,SEMISH
Luís Felipe Santos,Homem,Thais Batista,Mulher,SEMISH
Gustavo Henrique da Silva Alexandre,Homem,Jesiel Viana da Silva,Homem,WEI
Márcia Gonçalves Oliveira,Mulher,Vânia Silvares Marquiori,Mulher,WIT
Celso Alberto Saibel Santos,Homem,Estêvão Bissoli Saleme,Homem,CTD
Celso Alberto Saibel Santos,Homem,George Ghinea,Homem,CTD
Estêvão Bissoli Saleme,Homem,George Ghinea,Homem,CTD
Hugo Rosado,Homem,Marcelo Benedito,Homem,ETC
Alex Gliesch,Homem,Marcus Ritt,Homem,CTD
Ana P. G. Lopes,Mulher,Luis F. A. Román,Homem,SBCUP
Ana P. G. Lopes,Mulher,Paulo R. L. Gondim,Homem,SBCUP
Luis F. A. Román,Homem,Paulo R. L. Gondim,Homem,SBCUP
Flávio Rocha,Homem,Hudson Lopes,Homem,WPerformance
Flávio Rocha,Homem,Ricardo Bruno de Oliveira,Homem,WPerformance
Hudson Lopes,Homem,Ricardo Bruno de Oliveira,Homem,WPerformance
Alice Menezes,Mulher,Carlos Figueiredo,Homem,SBCUP
Alessandra Martins Coelho,Mulher,Diego Nunes Noceli,Homem,ENCompIF
Alessandra Martins Coelho,Mulher,Matheus de Freitas Oliveira Baffa,Homem,ENCompIF
Diego Nunes Noceli,Homem,Matheus de Freitas Oliveira Baffa,Homem,ENCompIF
Flávio Coutinho,Homem,Glívia Barbosa,Mulher,WIT
Flávio Coutinho,Homem,Ismael Silva,Homem,WIT
Flávio Coutinho,Homem,Laura Ribeiro,Mulher,WIT
Flávio Coutinho,Homem,Natália Santos,Mulher,WIT
Glívia Barbosa,Mulher,Ismael Silva,Homem,WIT
Glívia Barbosa,Mulher,Laura Ribeiro,Mulher,WIT
Glívia Barbosa,Mulher,Natália Santos,Mulher,WIT
Ismael Silva,Homem,Laura Ribeiro,Mulher,WIT
Ismael Silva,Homem,Natália Santos,Mulher,WIT
Laura Ribeiro,Mulher,Natália Santos,Mulher,WIT
Manuel M. Oliveira Neto,Homem,Marcos H. Backes,Homem,CTD
Amaury Antônio de Castro Junior,Homem,Anderson Corrêa de Lima,Homem,WEI
Amaury Antônio de Castro Junior,Homem,Luciana Montera Cheung,Mulher,WEI
Anderson Corrêa de Lima,Homem,Luciana Montera Cheung,Mulher,WEI
Delano Maia,Homem,Emanuel Coutinho,Homem,WASHES
