Nome_Original,Nome_Canonico
Alana Araújo,Alana Araujo
Aline Marques de Morais,Alana Marques de Morais
Alexandre Lopes,Alexandre F. Lopes
Ana Karolinna Maia,Ana Karolina Maia
Ana Luíza S. Milson,Ana Luísa S. Milson
André Aquino,Andre Aquino
Cristina G. Fernandes,Cristina Fernandes
Daniel R. Figueiredo,Daniel Figueiredo
Daniel Menasché,Daniel Menasch
Edson T. Midorikawa,Edson Midorikawa
Eduardo C. de Almeida,Eduardo C. Almeida
Esdras L. Bispo Jr.,Esdras Bispo Jr.
Fabíola Nakamura,Fabíola G. Nakamura
Filipe Fernandes,Filipe C. Fernandes
Franklin de Lima Marquezino,Franklin de L. Marquezino
Geraldo Braz Júnior,Geraldo Braz Junior
Igor W. S. Falcão,Igor W. A. Falcão
Janaína Gomide,Janaina Gomide
Jayme Szwarcfiter,Jayme L. Szwarcfiter
Jefferson O. Andrade,Jefferson Andrade
Jonnhy Marques,Johnny Marques
João Gabriel Silva,João Gabriel R. Silva
Kelly Bianca Araújo Silva,Kelly Bianca Araujo Silva
Marcos C. da R. Seruffo,Marcos C. R. Seruffo
Maria Cecília Calani Baranauskas,Maria Cecilia Calani Baranauskas
Maurício M. Arimoto,Maurício Arimoto
Moysés Sampaio Jr.,Moysés Sampaio Jr
Márcia Gonçalves de Oliveira,Márcia Gonçalves Oliveira
Natasha Malveira Costa Valentim,Natasha Malveira C. Valentim
Natália Louzada,Natália C. Louzada
Natália do C. Louzada,Natália C. Louzada
Núbia Rosa da Silva,Nubia Rosa da Silva
Patrícia Araújo-de-Oliveira,Patrícia Araújo de Oliveira
Rodrigo da R. Righi,Rodrigo R. Righi
Rômulo Silva de Oliveira,Romulo Silva de Oliveira
Ronney Moreira de Castro,Ronney Moreira Castro
Rosiane de Freitas,Rosiane Freitas
Sandro Oliveira,Sandra Oliveira
Sara M. Silva ,Sara M. Silva
Silvia Amélia Bim,Silvia Amelia Bim
Taciana Pontual Falcão,Taciana Pontual Falcão
Thalia S. de Santana,Thalia S. Santana
Vinicius dos Santos,Vinicius F. dos Santos
Vinícius R. P. Borges,Vinicius R. P. Borges
